src_orig,tgt
{TÚG}ku-ta-nu 25 ma-na AN.NA ku-nu-ku e-ri-ib ša a-na qá-ti-šu a-dí-nu i-na pá-ni-tim ša-li-be-li ub-lá-kum 72,"45 kutānu-textiles (and) 25 minas of sealed tin, apart from what I gave to him for expenses, Šalim-bēlī brought to you earlier."
{TÚG}ku-ta-nu ŠÀ.BA 2 {TÚG}a-bar-ni-ú 4 ANŠE ṣa-lá-mu ú ú-nu-sú-nu 1 ma-na AN.NA ša 2 0.66666 GÍN 15 ŠE KÙ.BABBAR sà-ḫe-er-tum i šé-pì-kà tù-šé-bi₄-lam 4,"72 kutānu-textiles, 2 of those abami'u-textiles, 4 black donkeys plus their harness, 1 mina of tin (and) worth 2 2/3 shekels 15 grains of silver of small goods you carried personally."
{TÚG}ku-ta-nu KI kur-ub-IŠTAR ú-mu,4 kutānu-textiles are owed by Kurub-Ištar.
DAM.GÀR 7 ITU.KAM e-ṭá-at-qú,The terms for the agent are overdue by 7 months.
a-ḫi a-ta KÙ.BABBAR ma-lá a qá-tí-kà i-ma-qú-tù a-na ṣé-er ú-ṣú-ur-ša-a-šùr šé-bi₄-lá-ma lu-ša-ak-ší-dá-ni-ma lá a-ba-áš,"My dear brother, send as much silver as falls into your hands to Uśur-ša-Aššur, so he may let it reach me and I shall not be put to shame."
a-na u₄-um ga-ma-li-im 8 GÍN KÙ.BABBAR ú-ku-ul-tí 2 ANŠE 1 GÍN a-na ša bi₄-lá-tí-kà a-dí-in 2,While could still I oblige you I gave 8 shekels of silver for the fodder of 2 donkeys and 1 shekel for your porters.
GÍN a-na qá-tí a-šùr={d}UTU-ši IGI šu-sú-en₆ DUMU i-tur₄-DINGIR,"2 shekels were for the share of Aššur-šamši, witnessed by Šū-Suen the son of Itūr-ilī."
a-na 0.5 ma-na.TA 1 TÚG IGI a-šur-DU₁₀ IGI a-šur-dan ú-ra-ki-sú,"I bound him by contract to pay 1/2 mina per textile, witnessed by Aššur-tāb and Aššur-dān."
1.66666 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-gu₅-za i-ku-num i-šu iš-tù a-lim{ki},Aguza owes Ikūnum 1 mina 45 shekels refined silver.
i-ku-num i tù-a-ri-šu a-gu₅-za … KÙ.BABBAR i-ša-qal šu-ma lá ìš-qúl 1.5 GÍN.TA a-na ma-na-im i-na ITU.KAM,Aguza will pay the silver at Ikūnum's return from the city.
ú-ṣa-áb … IGI PUZUR₄.IŠTAR DUMU DINGIR-pì-lá-aḫ IGI PUZUR₄-tí-am-tí-im DUMU IŠTAR-pá-li-il₅,"If he does not pay (on time), he will add 1 1/2 shekels per mina per month."
0.66666 ma-na LÁ 2 GÍN KÙ.BABBAR ša a-mur-DINGIR i li-bi₄ {d}IŠKUR-ba-ni i-šu-ú a-šur-ta-ak-lá-ku iṣ-ba-at,"The 38 shekels of silver that Amur-ilī had as a claim against Adad-bām, Aššur -taklāku has taken (that)."
šu-ma a-mur-DINGIR a-an 0.66666 ma-na LÁ 2 GÍN a-na {d}IŠKUR-ba-ni i-tù-ar a-šur-ta-ak-lá-ku ú-ba-áb-šu,"If Amur-ilī raises claim concerning the 38 shekels against Adad-bāni, then Aššur-taklāku will clear him."
IGI šu-be-lim IGI a-šùr-i-mì-tí IGI a-šur-na-da,"Witnessed by Šū-Bēlum, witnessed by Aššur-imittī, witnessed by Aššur-nādā."
a-na i-na-a qí-bi-ma um-ma {d}UTU.DUG-ma i-na {d}UTU-ši ša i-ku-pí-a e-ra-ba-ni,To Innāya from Šamaš-ṭāb:
u₄-ma-kál lá i-bi-a-at,"On the day that Ikuppīya arrives, he must not stay a single day."
a-na wa-aḫ-šu-ša-na ṭù-ru-sú a-dí TÚG.ḪI-tí-a ša a-ma-kam i-ba-ší-ú-ni a-bi a-ta bé-li a-ta TÚG.ḪI-tí a-na KÙ.BABBAR ma-lá i-du-nu-ni KÙ.BABBAR,Dispatch him to Waḫšušana.
ku-nu-ku-ma šé-bi-lam,"With regard to my textiles which are there, my dear father and lord, as much the textiles were sold for silver, seal and send the silver to me."
ku-ṣú-um i-sí-ni-iq-ni-a-tí-ma,Winter overtook us and the caravan is stalled...
e-lu-tum i-ib-té-re té-er-ta-kà ú e-ma-ru-kà,The caravan ...
šál-mu,Your consignment and donkeys are well.
a-na-kam iš-tù ḫa-ḫi-im a-na tí-me-el-ki-a 3 iš-té-na ú ša-na e-ma-ru uš-ta-lu-ḫu ki-ma ta-áš-pu-ra-ni mì-ma šé-bu-lam … té-er-ta-kà li-li-kam-ma uz-ni pí-té,Here the donkeys will dispatch one or two at a time from Ḫaḫḫum to Timelkiya.
… x AN.NA …,... tin ...
1 ma-na 1.5 GÍN KÙ.BABBAR ṣa-ru-pu-um 4 ma-na URUDU SIG₅ ša-bu-ru-um ḫa-bu-ra-ba-i-a-am i-ṣé-er ku-na-ni-a la-qé-ep i-šu,Kunaniya owes Lā-qēpum 1 mina 1 1/2 shekels silver (and) 4 minas fine ḫaburabayyum copper in pieces.
iš-tù ḫa-mu-uš-tim ša i-ku-nim ù PUZUR₄-a-šur a-na 5 ITU.KAM i-ša-qal šu-ma i-na u-me-e ma-al-ú-tim la iš-qú-ul 1.5 GÍN.TA i-na ITU.KAM a-na KÙ.BABBAR ṣí-ib-tám,He will pay 5 months from the ḫamuštum week of Ikūnum and Puzur-Aššur.
ú-ṣa-áb,"If he does not pay at the fulfillment of the term, he will add 1 1/2 shekels per mina per month as interest."
IGI en-um-a-šur IGI bu-ur-IŠTAR,"Witnesses: Ennum-Aššur, Būr-Ištar."
a-na šu-ḫu-bur qí-bi-ma um-ma pu-šu-ke-en₆-ma,To Šū-Ḫubur from Pūšu-kēn:
ta-áš-pu-ra-am,You wrote me.
um-ma a-ta-ma ša i-ku-nim šé-li,"(You said,) ""Send up the goods of Ik"
a-wi-lúm a-na šál-ša-tí-šu lá kà-ší-id,The man cannot make his thirds.
KÙ.KI lu a-ta lu É a-bi-kà ma-lá ad-ma-tù-nu-ni BI-ŠA-AM-ma ṭup-pá-kà lá-aṣ-ba-at-ma ma-lá a-le-e-ú lá-al-qé,"(Write?) to me the gold, both your own and that of the house of your father, as much falls to you as a share, so that I may take your tablet and take as much as I am able."
a-šu-mì AN.NA bi₄-il₅-tim ù 4 TÚG KÙ.BABBAR-áp-šu aṣ-ba-at-ma nu-šé-ší-ib-ma a-na 1 GÚ 3 ma-na AN.NA 7 GÍN.TA 9 ma-na KÙ.BI,"Concerning the tin, a talent, and four textiles-I took their price in silver and we ... , and for one talent 3 minas tin at 7 shekels rate, its silver was 9 minas."
ša 4 TÚG.ḪI.A 15 GÍN.TA 1 ma-na ŠU.NÍGIN 10,Altogether the price of the 4 textiles at 15 shekels each was 1 mina (silver).
ma-na KÙ.BABBAR ŠÀ.BA 8 ma-na al-qé 2,"10 minas silver, thereof, I took 8 minas."
ma-na i-na tù-a-ri-šu iš-tù za-al-pá i-ša-qá-lam,He will pay me the (remaining) two minas (in?) Zalpa after his return.
i-na 5 ma-na KÙ.BABBAR x ma-na KÙ.BABBAR a ša ki-ma lá-li-im ú-ta-e-er,"From the 5(?) minas silver, I/the representative of Lālum will return x minas silver to the representatives of Lālum/me. (?)"
ta-áš-pu-ra-am,You wrote me.
um-ma a-ta-ma ša 1 ma-na KÙ.KI a-na en-na-a-šùr e-bi-ik,"You said, ""Regarding  the 1 mina gold I released to Ennam-Aššur ..."""
a-ṣé-er 1 ma-na-im ša a-ma-kam ta-dí-nu-šu-ni ù 0.66666 ma-na 5 GÍN KÙ.BABBAR ù 5 ma-na-e AN.NA ša li-bi-šu 1.66666,"In addition to the mina which you gave to him there, (there is) also 45 shekels silver and 6 minas tin which he owes."
ma-na KÙ.BABBAR i-na ša lá-li-im ša al-qé-ú ù 0.33333 ma-na KÙ.BABBAR i-na KÙ.BABBAR-pì-kà ú-ra-dí-ma 2 ma-na KÙ.BABBAR a-dí-šum-ma 4 ma-na LÁ 15 GÍN KÙ.BABBAR ša 1 ma-na KÙ.KI ú-pì-iq-šum,"From the silver of Lālum which I received, I took 1 2/3 minas silver, and also gathered 1/3 minas silver from your silver and I gave him 2 minas silver and also 3 minas 55 shekels silver for the 1 minas of gold I added(?) to him."
ší-tí KÙ.BABBAR-pì-kà 6 ma-na KÙ.BABBAR dan-a-šùr na-áš-a-kum,Dān-Aššur brings to you the remainder of your silver: 6 minas silver.
a-šu-mì i-ku-nim té-er-ta-kà iš-tí a-li-ki-im pá-nim-ma li-li-kà-ma ma-lá ú-šé-lu-ú i šé-pì-a,"Regarding Ikūnum, let your instructions come from the city with the first traveller so that I (can bring) as much as I can raise in my cargo."
a-na pu-šu-ke-en₆ qí-bi-ma um-ma lá-ma-sí-ma ta-ša-me-ma ta-ni-iš-tum il₅-té-mì-in,To Pūšu-kēn from Lamassī:
a-ḫu-um a-na a-ḫi-im a-na ḫa-lá-tim i-za-az ku-ta-bi-it-ma ù al-kam-ma ku-ur-sí-kà pá-ri-ir,Each man stands prepared to swallow his neighbor.
ṣú-ḫa-ar-tám a-na sú-un-a-šùr šu-ku-un,Place the girl on the lap of Aššur.
i-na a-lim{ki} SÍG.ḪI.A wa-aq-ra-at i-nu-mì KÙ.BABBAR 1 ma-na ta-ša-kà-na-ni i-na qé-ra-áb SÍG.ḪI.A,Wool is scarce in the city.
šu-uk-nam KÙ.BABBAR 1 ma-na ša wa-ṣí-tí-kà ša tù-šé-bi₄-lá-ni,"When you set a mina silver for me, put it within the wool."
mu-ṣí-um e-ri-šu-ni-ma a šu-mì-kà pá-al-ḫa-ku-ma ù-lá a-dí-in um-ma a-na-ku-ma li-mu-um li-ru-ba-ma É-bé-tám li-pu-ug,"The mina of silver for your exit tax which you sent me, the exit regulators demanded it, and fearing for your reputation I did not give it."
a-ḫa-at-kà x GÉME a-na ší-mì-im ta-dí-in-ma a-na-ku a-na 14 GÍN áp-ṭù-ur-ší,Your sister sold a maid but I liberated her for 14 shekels.
ša-lim-a-ḫu-um 2 šé-na É-be-té-en iš-tù a-ta tù-uṣ-ú e-ta-pá-áš,Šalim-aḫum had built two houses before you left.
né-nu-ma a-na ma-tí né-pá-áš TÚG ša a-šur-ma-lik i-na pá-ni-tim ub-lá-ni,"As for us, when will we build?"
KÙ.BABBAR mì-in lá tù-šé-ba-lam,"As for the textiles which Aššur-mālik took earlier, why have you not sent the silver?"
a-na a-šùr-na-da qí-bi-ma um-ma en-na-nu-ma,To Aššur-nādā from Ennānum:
a-šùr-né-me-dí me-ra-kà a-na ki-dí-im iṭ-ru-du-ma iš-tù 20 SÌLA še-im i-na É-bé-tí-ni at-ru-a-šu-ma a-na-ku ú-ša-qal-ma,"They sent Aššur-nēmedi, your son, into the countryside, but I fetched him back and it is I who personally feed him 20 "
lá-ma-ša a-ma-ma a-ni-na e-ba-ar-kà ša-i-il₅,Ask Lamašša there (or) Annina your friend. 
šu-ma a-ḫi a-ta a-wi-il₅ gi₅-mì-li-im,"My dear brother, I am a man capable of doing favours."
a-na-ku gi₅-im-lá-ni 1,Now do 
TÚG ša a-dí-na-ku-ni KÙ.BABBAR-áp-šu i pá-ni-ú-tí-ma šé-bi-lam,"The one textile which I gave you, send me the proceeds from its sale as soon as possible."
KIŠIB a-šur-i-dí DUMU ì-lí-a KIŠIB PUZUR₄-a-šur DUMU DINGIR-ku-ru-ub KIŠIB a-šur-SIPA DUMU a-ku-tí-a,"Seals: Aššur-idī s. Iliya, Puzur-Aššur s. Ilī-kurub, Aššur-rēʾī s. Akutiya."
ša ḫu-bu-ul a-šur-SIPA DUMU a-ku-tí-a 6 ma-na KÙ.BABBAR ṣa-ru-pá-am ša a-šur-SIPA DUMU PUZUR₄.IŠTAR i-na ṣé-er a-šur-SIPA DUMU a-ku-tí-a a-šur-SIPA DUMU PUZUR₄.IŠTAR i-šu,"Regarding the debt of Aššur-rēʾī s. Akutiya, Aššur-rēʾī s. Akutia owes Aššur-rēʾī s. Puzur-Ištar 6 minas refined silver belonging to Aššur-rēʾī s. Puzur-Ištar."
iš-tù ḫa-muš-tim ša ḫu-ra-ṣa-nim a-na 1 ma-na-im 2 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣaₓ-áb,He will add interest from the ḫamuštum of Ḫuraṣānum at the rate of 2 shekels per mina per month.
ITU.KAM ša sá-ra-tim li-mu-um i-dí-a-šur DUMU ku-bi₄-dí,Month: ša sarrātim.
ta-aḫ-sí-is-tum a-ni-tum me-eḫ-ra-at ṭup-pì-im ḫa-ar-mì-im ša ḫu-bu-ul a-šur-SIPA DUMU a-ku-tí-a,This memorandum is a copy of the sealed tablet of Aššur-rēʾī s. Akutiya.
um-ma a-šur-i-mì-tí-ma a-na pu-šu-ke-en₆ qí-bi₄-ma 22,From Aššur-imittī to Pūšu-kēn:
{TÚG}ku-ta-ni 1 ANŠE ṣa-lá-ma-am ku-ra-ra ú i-dí-a-šur ub-lu-ni-kum 1,"Kurara and Idī-Aššur brought to you 22 kutānum-textiles, 1 black donkey."
GÚ 5 ma-na AN.NA i-dí-a-šur ú-šé-bi₄-lá-ku-ma 9.66666 ma-na KÙ.BABBAR tù-šé-bi₄-lá-ma ú ḫa-lá-aq,Idī-Aššur sent to you 1 talent 5 minas tin and you sent 9 2/3 minas silver and then it was lost.
šu-ma a-ḫi a-ta a-ta-ak-lá-ma i li-bi₄-kà KÙ.BABBAR ša šé-bu-li-im šé-bi₄-lá-ma TÚG.ḪI.A ik-ri-bu ša a-šur KÙ.BABBAR 1 ma-na-um 1 ma-na ra-ma-kà ku-bu-ús-ma li-ba-am dí-nam,"If you are my brother, absorb (some of the loss) and send whatever silver can be sent from your own funds and concerning the textiles (that are) the  ikrībū  ššūr, extend yourself for one mina per mina (extra) and thus give (me) encouragement."
KÙ.BABBAR 2 ma-na ša ba-áb ḫa-ra-ni-kà šál-ma-a-šur ú a-šur-ba-ni lá tù-šé-bi₄-lam,You did not send about 2 minas silver to Šalim-Aššur and Aššūr-bāni at your departure.
KIŠIB šu-lá-ap-ra-at KIŠIB PUZUR₄-a-na KIŠIB a-šùr-ba-ni,"Seal of Šū-Ilabrat, seal of Puzur-Anna, seal of Aššur-bāni."
ša ḫu-bu-ul a-šùr-ba-ni 0.5 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šùr-ba-ni a-šùr-na-da i-šu iš-tù ḫa-mu-uš-tim ša šu-a-nim a-na ITU.3.KAM i-ša-qal šu-ma i-na ú-me-šu ma-al-ú-tim,Concerning the debt of Aššur-bāni: he must pay 1/2 mina of refined silver reckoned from the week of Šū-Anum and within 3 months; if within his completed term he has not paid ....
pu-šu-ke-en₆ a-na a-šur-ma-lik iṣ-ba-at-ni-a-tí-ma um-ma pu-šu-ke-en₆-ma a-na a-šùr-ma-lik-ma iš-tù 10 u₄-me-e a-na KÙ.BABBAR 5 ma-na ta-ar-ta-na-ga-ma-am al-kam ša ḫa-bu-lá-ku-ni i-na dí-tim ru-ug-ma-am,"Pūšu-kēn seized us against Aššur-mālik and Pūšu-kēn said to Aššur-mālik, ""You have been prosecuting me about 5 minas silver for 10 days. Come. litigate against me concerning that which I owe in a suit."" "
a-šùr-ma-lik ša ni-iš a-lim{ki} uz-na-tí-ni il₅-pu-ut,Aššur-mālik wrote the words of the oath of the city of our ears.
um-ma šu-ut-ma ki-ma a-na dí-tim iš-pu-ra-ni-ni,"He said, ""They (f.?) will write that for the verdict.""??"
um-ma pu-šu-ke-en₆-ma kà-i-lá,"Pūšu-kēn said, """"It is enough(?)"""
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in,"For this matter, the colony at Kanesh gave us permission, and we gave our witnesses before the dagger of Aššur."
IGI lá-qé-pì-im DUMU i-zi-za-am-DINGIR IGI ḫa-na-na-nim,"Witnesses: Lāqēpum s. Izēzam-ilī, Hannanum."
um-ma a-šùr-na-da-ma a-na ší-ša-aḫ-šu-šar qí-bi-ma 55,From Aššur-nādā to Šišahšušar:
ma-na Ì.DAN ša ḫu-zi-ri-im nu-ḫu-um ku-nu-ki-a ù na-ru-tum ša e-ru-bu {d}UTU-ba-ni na-áš-a-ki-im,"55 minas of lard, (in) a leather pouch under my seal, plus the narūtu-malt that has arrived, Šamaš-bāni is on his way to you with that."
a-pu-tum mu-ṣa-am ù e-wa-za-tim ša e-zi-bu ša-ṣí-ri-ma šé-bi₄-li-ší-na,"Please, guard the "
URUDU li-dí-nu-ma tí-ib-nam ša-ma,"Let them sell copper, and buy straw."
tù-ḫi iḫ-da-ma a-bi₄-lá GU₄.ḪI.A,Take care to dry the chaff.
SIG₅ a-lá-ḫu-um li-iš-a-ma tí-ib-nam pá-ḫi-ra,Let Al-aḫum buy oxen of good quality and gather the straw.
um-ma a-šur-i-mì-tí-ma a-na pu-šu-ke-en₆ qí-bí-ma,From Aššur-imittī to Pūšu-kēn:
té-er-ta-kà i-li-kam-ma i-na {d}UTU-ši ṭup-pá-kà áš-me-ú 3 ma-na KÙ.BABBAR a-na ša ki-ma ku-a-tí a-dí-in-ma AN.NA iš-ú-mu-kum,"Your message came and on the same day that I heard your letter, I gave 3 minas silver to your (pl?) representatives, and thay purchased tin for you."
a-ḫi a-ta i-na iš-té-en₆ a-li-ki-im i-na pá-nim-ma KÙ.BABBAR-pí šé-bi-lam,"My dear brother, from one traveler, ""Send my sivler immediately!"
ù ki-ma KÙ.BABBAR áš-qú-lu áš-pu-ra-ku-ma té-er-ta-kà ù-lá i-tù-ra-am,"But when I weighed out silver, I sent (it) to you and your message has not returned."
a-na im-dí-DINGIR qí-bi-ma ša ba-pí-ri-a ma-lá šé-bu-li-im šé-bi-lam,"Say to Imdi-ilum: ""Send as much as can be sent of the profits of my (Aššur-imittī's) wheat grain."""
KIŠIB be-el-ḫa-ar-mì-im KIŠIB PUZUR₄-a-šur KIŠIB a-šur-dan KIŠIB lá-li-im KIŠIB a-šur-be-el-a-wa-tim ša x ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-be-el-a-wa-tim DUMU šu-a-nim-a-šur-SIPA i-šu-ú iš-tù ḫa-muš-tim ša na-ra-am-ZU ù i-ku-nim a-na 21 ḫa-am-ša-tim,"Seals of the cheif ḫarmum, Puzur-Aššur, Aššur-dān, Lāalum, Aššur-bēl-awātim."
i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ṣí-ib-tám,He will pay 21 hamuštum weeks from the hamuštum of Naram-Suen and Ikūnum.
ú-ṣa-áb,"If he does not pay, he will add 1 1/2 shekels per mina per month."
ITU.KAM ku-zal-li li-mu-um šu-da-a DUMU en-na-nim ta-aḫ-sí-is-tum a-ni-tum me-eḫ-ra-at ša ḫu-bu-ul a-šur-be-el-a-wa-tim DUMU šu-a-nim,Month: Kuzalli.
um-ma a-šùr-ba-ni ù ša-lim-a-šùr a-na pu-šu-ke-en₆ qí-bi-ma,From Aššur-bāni and Šalim-Aššur to Pūšu-kēn:
KÙ.BABBAR ša DUMU qá-a-a-tim šu-ḫu-bur ta-da-nam lá i-mu-ni-a-tí,Šū-Ḫubur did not want to give us the silver of Qayyātum's son.
um-ma šu-ut-ma a-ma-kam-ma li-il₅-qé,"He said, ""Let him take it there."""
a-ma-kam-ma li-qé,So take it there.
KÙ.BABBAR ša a-na a-šùr-i-mì-tí ḫa-bu-lá-ti-ni a ṣí-ib-tim ni-il₅-qé-ma ni-iš-qúl 6,"As for the silver which you owe to Aššur-imittī, we borrowed (silver) on interest and we paid him."
GÚ URUDU ša ší-im be-tí a ṣí-ib-tim ni-il₅-qé-ma ni-iš-qúl,We borrowed 6 talents of copper for the price of the houses and we paid it out.
KÙ.BABBAR šé-bi₄-lam-ma ṣí-ib-tum lá i-ma-ra-ṣa-kum,Send the silver so that the interest does not become burdensome to you.
tù-pì-zi a-na a-lim{ki} ma-ḫa-ri-im i-zi-iz-ma né-nu nu-ša-ḫi-sú,Tupezi stood to face the city council and we cleared his obligations(?).
um-ma né-nu-ma a-ma-kam i na-sà be-tí-kà at-wu,"We said, ""There inasa (?) your house is spoken(?)"""
a-na ša-lim-a-ḫi-im qí-bi-ma um-ma la-qé-pu-um-ma ù pu-šu-ke-en₆-ma 8,To Šalim-aḫum from Lā-qēpum and Pūšu-kēn:
GÚ AN.NA ù ú-tù-ra-e-šu 32 TÚG.ḪI.A ŠÀ.BA 10 {TÚG}ku-ta-nu 32 ma-na AN.NA ku-nu-ku 2 ma-na AN.NA a-ḫa-ma pu-šu-ke-en₆ ub-lam,"Pūšu-kēn brought 8 talents tin and its ..., 32 textiles, therein are 10 kutānum-textiles, 32 minas tin sealed, 2 minas tin separately."
ŠU.NÍGIN 34 ma-na AN.NA-ak qá-tim 4 {TÚG}ku-sí-a-tum,"In sum, 34 minas hand tin, 4 kusītum-garments."
ŠÀ.BA 1 {TÚG}ku-sí-tám DUMU a-šur-ma-lik il₅-qé 1,"Therein, the son of Aššur-mālik took 1 kusītum-garment."
{TÚG}ku-sí-tám ma-ṭí-tám ki-ma ni-is-ḫa-at 5 {TÚG}ku-ta-ni a-na É.GAL-lim it-bu-lu,They took 1 mṭt  kusītum-garment as excise of 5 kutanum-textiles for the palace.
xxxx AN.NA ša a-na xxxxxxxx x,... tin which to ...
xxxxxx a-na ni-x … xxxx,.... for ...
a-na 10 GÍN KÙ.BABBAR xx ku-ta-ni nu-ra-dí-ma 12 ma-na KÙ.BABBAR ni-kà-sí-kà né-pu-ul 5,...we added ... for 10 shekels silver ... kutānum-textiles and we paid back 12 minas silver to your accounts.
GÍN KÙ.BABBAR ša i ší-im 3 {TÚG}ku-ta-ni i-ri-ḫa-ni a-ṣé-er gám-ri-im ša tap-ḫi-ri-kà ša šar-ra-ma-té-en₆ nu-ṭá-ḫi,"We combined 5 shekels silver which (is deducted ?) from the price of 3 kutānum-textiles, to the total of your taphir of Šarra-mātēn.  "
ša 5 GÚ a-wi-tim ša šé-ep ì-lí-áš-ra-ni ša iš-tù ra-za-ma a-dí bu-ra-lim 6.83333 ma-na 1.66666 GÍN AN.NA iš-ku-ni-a-tí,"Of the 5 talents, the awītum-assessement of the transport of Ili-ašranni, (the segment) from Razama to Burallum set to us 6 minas 51 2/3 shekels tin. "
iš-tù bu-ra-lim a-dí kà-ni-iš 2.83333 ma-na 7.33333 GÍN.TA 1 GÚ-tám ik-šu-dam,"From Burallum to Kanesh, 2 minas 57 1/3 shekels per mina obtain."
a-na 10 GÚ 6 ma-na a-wi-tí-kà 30,"For 10 talents, your awītum assessment is 6 minas."
ma-na LÁ 11 GÍN ik-šu-dam 0.5,29 minas 49 shekels applies.
ma-na AN.NA 2-šé-na qá-qá-da-tim ik-šu-dam 2,1/2 minas tin (for) two heads(?) obtain.
ma-na ú-ku-ul-tí 4 ANŠE.ḪI.A ù sá-ri-dim 3,The (fee for) fodder of 4 donkeys and their drivers is 2 minas.
ma-na ig-ru sá-ri-dim 2.5,The hire of the drivers is 3 minas.
ma-na 4 GÍN ta-ší-a-tum 0.5,The tašiātum is 2 minas 34 shekels.
ma-na mu-ṭá AN.NA-ak qá-tim,The deficiency of the hand tin is 1/2 mina.
xxx ša AN.NA-ki-šu xxx ta a-na ì-lí-áš-ra-ni ni-dí-in,We gave to Ili-ašranni ... of his tin ...
… GÍN a-ṣé-er … GÍN KÙ.BABBAR ša ší-im 3 {TÚG}ku-ta-ni a-na ša tap-ḫi-ri-im ša šar-ra-ma-té-en nu-ra-de₈-ma 11.33333 GÍN KÙ.BABBAR ni-ig-mur,We added x shekels to the x shekels silver for the price of the 3 kutānum-textiles for the taphirim of Šarra-mātēn and we exhausted the 11 1/2 shekels silver.
ší-tí KÙ.BABBAR ša ANŠE.ḪI.A 0.33333 ma-na KÙ.BABBAR,The remainder of the silver of the donkeys is 1/3 minas silver.
a-na 3 ma-na AN.NA ša ì-lí-áš-ra-ni iš-qú-lu KÙ.BABBAR il₅-qé,We received silver for the 3 minas tin which Ilī-ašranni weighed out.
KIŠIB tù-tù-ú DUMU ba-zi-a KIŠIB ú-ṣú-ur-ša-IŠTAR KIŠIB i-šar-a-šur DUMU a-šur-GAL,"Seal of Dudu s. Baziya, seal of Uṣur-ša-Ištar, seal of Išar-Aššur s. Aššur-rabi."
ša ḫu-bu-ul i-šar-a-šur DUMU a-šur-GAL 1.5 GÍN KÙ.GI pá-ša-lam₅ iš-tù SAG ITU.KAM té-i-na-tim a-na e-tí-šu i-ša-qal,"Regarding the debt of Išar-Aššur s. Aššur-rabi, he will pay 1 1/2 shekels pašallum-gold from the beginning of the month of Tē'inātum upon notice."
li-mu-um i-dí-a-šur DUMU ku-bi-dí,Limmuship of Idī-Ašsur s. Kubi-idī (REL 81).
a-na šu-IŠTAR qí-bi₄-ma um-ma ì-lí-ba-ni-ma 0.66666,To Šū-Ištar from Ilī-bāni:
ma-na 3 GÍN KÙ.BABBAR ša me-er-i-tí-kà ša a-na ší-a-ma-tim ta-dí-na-ni a-šùr-ták-lá-ku iš-tí-a ša-zu-úz-tù-ni 2 {TÚG}a-bar-ni-e 1 {TÚG}ku-ta-nam SIG₅ ni-iš-a-ma-kum,"As for the 43 shekels of silver belonging to your daughter which you gave me for purchases, Aššur-taklāku with me and our certified representatives, we purchased for you 2 abarnium-textiles and 1 fine kutānum textile."
ku-nu-ku-ni a-šar da-da-a-a DUMU ku-um-ri-im ša sú-en₆ i-ba-ší-ú,They are available under our seals at (the house of?) Dadaya son of the priest of Suen.
a-na-ku ḫa-ra-ni ša-ni-a-at šu-pu-ur-ma {TÚG}ṣú-ba-tim li-dí-nu-ni-kum,"As for me, send another on my journey (?) so that he can give the textile to you."
1.66666 ma-na KÙ.BABBAR ṣa-ru-pá-am i-sé-er ú-ṣur-ša-a-šur bu-za-zu i-šu-ú um-ma ú-ṣur-ša-a-šur-ma sú-e-a ḫa-bu-lam šu-ma sú-e-a la i-ta-aḫ-ba-al-šum 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im a-na 1 ma-na-em ú-ṣa-ab,Uṣur-ša-Aššur owes Buzazu 1 2/3 minas refined silver.
iš-tù ḫa-muš-tim ša i-dí-ku-bi₄-im,From the ḫamuštum of Idī-Kūbim.
ITU.KAM qá-ra-a-tim,Month: Qarrātum.
li-mu-um i-ku-pí-IŠTAR,Eponymate: Ikuppī-Ištar.
IGI i-ku-pí-a IGI {d}IŠKUR.ANDUL IGI a-šur-nim-ri,"Witnesses: Ikuppiya, Adad-ṣilūlī, Aššur-nimrī."
a-na pu-šu-ke-en₆ qí-bi-ma um-ma PUZUR₄-a-šur-ma,To Pūšu-kēn from Puzur-Aššur-ma:
a-bi a-ta be-lí a-ta a-na ma-nim ša-nim lá-tí-ki-il₅,"My dear father and lord, who else can I trust?"
KÙ.BABBAR ma-lá i-na me-eḫ-ri-a ú-lá-pí-ta-ku-ni ša-áš-qí-il₅-ma a-na a-lim{ki} ša-ak-ší-dí-ma la KÙ.BABBAR ap-kà 5,"Have the silver paid, as much as I wrote to you in my copy, and cause it to reach me in the City so that it is not your silver (that I need to use(?))."
ma-na KÙ.BABBAR ša a-da-da DUMU i-ku-pì-a-šur ša-qá-lam qá-bi-ú ša-áš-qí-il₅-šu-ma ù 10 ma-na KÙ.BABBAR ša pá-kà ta-dí-na-ni šé-bi₄-lam,Have Adada s. Ikuppī-Aššur pay the 5 minas of silver which he promised to pay and also send the 10 minas of silver which you promised.
KI pá-ni-e-ma a-li-ki-im im-ku-a ṭur₄-da-am,Dispatch Imgua with the very first traveler.
