tablet_id,transliteration,translation
86. Kt 91/k 330,a-na E-lá-ma qí-bi-ma um-ma A-šùr-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni A-šùr-mu-ta-pí-il₅ a-na 30 ma-na ma-sí-/amʾ lá-ma : a-li-kà-ni il₅-qé-šu-nu wa-ar-kà-nu-um [u]m-ma šu-ut-ma [šú-ba-t]i-kà : li-qé [1] TÚG : šé-šé-r[a-a]m* i-pu-hu-šu* ša-ni-am : ú-ri-šu-uš TÚG : a-pá-ni-a i-dí-ú-šu-nu a-bi a-ta be-lí a-ta ⌈lá⌉ ú-nu-ú-ni té-er-ta-kà li-li-kam-ma š[í-i]m TÚG.HI.A li-dí-/nu-nim-/ma lá-tal-⌈kam⌉ a-ma ⌈a-š⌉a ta-ta-/ú-ni um-ma a-ta-/ma : ar-hi-i[š] ta-ta-lá-kam : tù-ZA-ra*-x?-/ni,"Say to Elamma, thus AŠšur-rš’ṣ: ŠThe 2 'ulupkaean textiles I sent you AŠšur-mētappil had taken for 30 minas of refined copper before I arrived. Afterwards he said: ‘Take your textilesš’ [As for 1] ......... textile, instead of it they asked for another one. They deposited the textile(s) before me. Please my father, my lord, they must not cheat meš Let a message of yours come here so that they give me the price of the textiles, then I will leave. Now then, as for what you said: ‘Leave quicklyš’ you are ......ing me.”"
87. Kt 92/k 151 (1-111-92),[a]-na E-lá-má qí-bi-ma [um]-ma A-šùr-SIPAD-ma [ta-á]š-pu-ra-am um-ma [a-t]a-ma ṭup-pé-e na-áš-pá-ra-tim ⌈ša iš-tù a⌉-lim{ki} tù-šé-ší-a-/ni [šé-bi-l]am? : ṭup-pé-e [na-á]š-pá-ra-tim ša Da-dí-a [ù] En-um-A-šùr [āu-mì]-⌈a⌉-bi-a na-áš-a-kum [ṭup-pu]-um ša šú-ha-ar-tim [i-li-ka]m um-ma ší-it-ma [a-mì]-nim ṭup-pá-am [lá i-dí]-na-kum a-ta [ x x ]-x-um a-lik-ma [ x x ]-tù at-wu-šu-um [iš-t]ù ITU.3.KAM [áš-pu]-ra-kum um-ma a-na-ku-ma [KÙ.B.] še-bi-lam šu-ma a-bi a-ta [1 ù] 2 ma-na : <KI> a-li-ki-im [pá-n]im-ma : šé-bi-lam-ma [šu-q]á-al-kà lá i-pá-ṭá-/ar-/ma [ù l]i-ba-kà lá i-lá-mì-in [d]a-a-tum ma-ri-iš-tum ik-šu-ud-ni-a-tí,"Say to Elamma, thus AŠšur-rš’ṣ: ŠYou wrote me as follows: ‘Send me the tablets with letters that you took along from the City’. ['um]i-abiya is on his way with the tablets with letters of Dadiya and Ennam-AŠšur. A letter of the girl arrived here in which she wrote: ‘Why did he not give you the tablet? You .............. go and .............. talk with himš’ I wrote you three months ago asking, ‘send me [silver]š Please, my father, send me [one or] two minas with the next caravan, lest your packet Šof tin) is opened and you get angry. We have incurred a terribly heavy road-taxš."
88. Kt 91/k 313 (1-170-91),a-na E-lá-ma qí-bi₄-ma um-ma A-šur-DÙG-ma a-na-kam E-dí-na-a ú-ša-sí-ih-ma pí-šu En-nam-A-šur DUMU Dí-dì-a-a iš-me ha-ra-šu a-na A-lim{ki} ṭup-pá-am ša hu-bu-/ul En-na-nim ku-nu-ki-a DUMU Dí-dí-a na-áš-a-kum lu-qú-ut-kà ú-za-kà a-ta-lá-/kam,"Say to Elamma, thus speaks AŠšur-(āb: ŠI forced Eddinaya to appear here and Ennam-AŠšur, son of Didi(a)ya, heard his statement. He is now on his way to the City. A tablet recording a debt of Ennānum, with my seals, Didiya’s son has with him for you. I will clear your merchandise (then) I will leave."
89. Kt 91/k 384 (1-238-91),um-ma Bé-l[á-num] ù Hi-na-[a-ma] a-na E-lá-ma qí-bi-ma wa-a[r-k]i-kà-/ma 11 ma-na KÙ. B. ù 16 ma-na KÙ.B ša a-šu-mì KÙ.GI En-nam-A-šùr tù-ša-hi-zu me-ra-kà a-na En-nam-A-šur ú-šé-bi-lam 16 ma-na KÙ.B En-nam-A-šur il₅-qé-ma 2 ma-na KÙ.GI ù 11 ma-na KÙ.B. a-šé-ri-ni ú-šé-bi-lam wa-ar-kà-tám 18 ma-na KÙ.B DUMU +a-lá-mì-im ú-šé-ší-am KÙ.B ù KÙ.GI pá-ni-[a]m ú-ša-ší-ib TUR [GA]L nu-pá-he-er-ma a-šé-er ša ki-[ma] ku-a-tí a-na Kà-n[i-iš] nu-uš-té-r[i-ib] i-té-er-tí P[í-lá-a]h-IŠtar GU'KIN⌉ a-na DUMU +a-lá-mì-im pí-iq-da-ma a-šé-er E-lá-ma lu-bi-il₅,"Thus BŠl[ānum] and Hinnāya, say to Elamma: ŠAfter you had left your son sent 11 minas of silver and the 16 minas of silver, on which you had given Ennam-AŠšur instructions concerning gold, to Ennam-AŠšur. Ennam-AŠšur took these 16 minas of silver and sent 2 minas of gold and the 11 minas of silver to us. Later the son of -allāmum produced 18 minas of silver. This silver and the earlier amount of gold he ............ We collected everything and brought (it) into Ka[nesh] to your representatives (saying): ‘At the instruction of Pilah- IŠtar you must entrust the gold to the son of -allāmum to bring it to Elamma’.”"
90. Kt 91/k 527,um-ma En-um-A-šùr ú Da-dí-a-ma : a-na E-lá-ma [qí]-bi-ma a-na-kam a-na [Ah-ša]-lim ú-nu-ut-kà [ni-ip]-qí-id i-na ba-a[b₁] [a-bu-l]im i-na wa-ša-i-[šu] [iš-t]ù : ha-ra-nu-um [d]a?-ri -*⌈x⌉-ú : A-šùr-i-d[í] i-li-kam-ma a-na 4 ma-[na] KÙ.B. A-šùr-i-dí Ah-ša-lim iš-ba-at um-ma šu-ut-ma ú-lá ú-ša-ar-kà i-na re-em lu-qú-tim ki-ma ú-nu-tim lá ta-ú-ri-im a-na-[ku] ú Da-dí-a a-na 4 ma-na KÙ.B. qá-ta-tí-šu ni-il₅-ta-[pá-at] i-hi-id-ma Ah-ša-lim KÙ.B. e-ri-iš-ma um-ma a-ta-ma ša ki-ma i-a-[tí] qá-ta-tí-kà il₅-ta-a[p]-/tù KÙ.B. šu-qú-ul-ma a-na a-wi-li lu-šé-bi-il₅-ma a-na A-šùr-i-dí li-iš-qú-lu [š]a ki-ma i-a-tí [ṭup-pá⌉-am [iš-pu-ru-ni]m [x] x [x] x x-⌈x⌉* [šu-ma] e-ta-ba-⌈at⌉ [šu-up]-ra-ma a-na-kam Ébé-s[ú] a-na ší-mì-/im lu ni-dí-in,"Thus Ennam-AŠšur and Dadiya, say to Elamma: ŠHere we entrusted your goods to Ah-šalim In the city-gate, when he was about to leave, after the caravan had already been assembled, AŠšur-idṣ came and AŠšur-idṣ seized Ah-šalim for 4 minas of of silver, declaring: ‘I will not let you goš’. Out of consideration for the merchandise, in order not let the goods be brought back, we, I and Dadiya, had ourselves booked as his guarantors for the 4 minas of silver. Take care to ask Ah-šalim for the silver, saying: ŠMy representatives let themselves be booked as your guarantors. Pay the silver then I will send it to the gentlemen, so that they can pay it to AŠšur-idṣ. My representatives wrote me a letter [to that effect.” If] he has fled, write to us, then we will sell his house here."
91. Kt 91/k 427 (1-280-91),a-na Hi-na-a ù E-la-m[a] qí-bi-ma um-ma I-dí-a-bu-[ma] 1/2 ma-na 5 GÍN KÙ.B. sa-ru-pá-am i-sé-er {d}EN.LÍL-ba-ni DUMU Sà-sà-a : ṭup-pu-šu ha-ar-mu-/um i-na li-bi₄ : ṭup-pé-a i-na Du-ur-hu-mì-it É Hi-na-a : i-ba-ší a-ba-ú-a : a-tù-nu ša-ab-ta-šu-ma KÙ.B. ša-áš-qí-la-šu : šu-ma mì-ma i-qá-bi₄ : um-ma šu-ut-ma a-na e-la-i-šu KÙ.B. a-ša-qal : GANA₂-lam ú-la ú-ší : ša-ab-ta-šu-ma KÙ.B ša-áš-qí-la-šu-ma ù iš-té-en i-ba-re-ku-nu ṭup-pá-am : li-dí-šu-um ki-ma ṭup-pu-šu : sà-ru a-na E-la-ma qí-bí-ma 2 TÚG ku-ta-ni A-šùrʾ-mu-ta-píl DUMU āu-Be-lim : i-na ku-nu-uk Da-dí-a kà-an-ku-ma ub-la-kum a-bi a-ta be-lí a-ta : ṭup-pá-am ša * ma-na 3 GÍN KÙ.B ha-bu-la-ku-ni : ku-nu-uk-šu-ma a-na DUMU um-me-a-nim ke-nim : dí-in-šu-ma lu-ub-lu-ni-šu,"Say to Hinnāya and Elamma, thus Iddin-abum: “35 shekels of refined silver Ellil-bāni, son of Sasaya, owes (me); his sealed debt-note is among my tablets Šthat are) in Durhumit, in the house of Hinnāya. Please, my fathers, seize him and make him pay the silver. If he protests and says: ‘I will pay him the silver when he comes up’ – he must not leave for the countryside, seize him and make him pay the silver and let one of you give him a quittance stating that his debt-note is no longer valid.” Say to Elamma: ŠAŠšur-mētappil, son of 'u-BŠlum, brought you 2 kutṣnu-textiles provided with Dadiya’s seal. Please, my father, my lord, the tablet by which I owe you 33 shekels of silver, put it under seal and give it to a reliable affiliated trader, to bring it to me.”"
92. Kt 91/k 430 (1-283-91),um-ma I-dí-A-šùr-ma a-na E-la-ma ù A-la-/hi-im qí-bi₄-ma a-na A-la-hi-im qí-bi₄-ma 1 ma-na KÙ.B. ša ṭup-pá-am ša Sá-li-a ta-*alʾ-pu-tù 1 ma-na KÙ.B. Sá-li-a li-dí-na-ku-ma ù ší-tí KÙ.B. ṭup-pì-i am-ra-ma a-na ar-be-e-šu a-na Sà-li-a e-sí-ir-ma lu nu-ša-bi₄-kà a-hi a-ta gi₅-mì-lam i-šé-ri-a ù me-er-eʾ-a šu-ku-un DAM.GÀR i-šu a-ma-ma-an i-pì-kà lá ú-ší-/i,"Thus Iddin-AŠšur, say to Elamma and Ali-ahum, in particular to Ali-ahum: “1 mina of silver for which you drew up Saliya’s debt-note, let Saliya give you that 1 mina of silver and as for the rest of the silver inspect my tablet to (discover) that I have already dunned Saliya four times, in order to be able to pay you. Please my brother, do me and my sons this favor. I have a creditor, (so) let nobody hear Šabout it) from your mouthš”"
93. Kt 91/k 296 (1-153-91),a-na E-lá-[ma qí-bi-ma] um-ma IŠtar-pì-lá-ah-ma 3 ma-na AN.NA Hi-na-a i-na *x x [ x] ú-kà-al-ma lá i-pá-ṭù-ru-nim li-bu-šu lá i-lá-m[ì]-/inʾ(IM) KÙ.B. 1* ma-na i-hi-id-ma šé-bi₄-lam lá ša áš-pu-ra-ku-ni um-ma Hi-na-a-ma té-er-ta-kà li-⌈li-kam⌉-/[ma]? ú-šé-ba-la-am áš-pu-ur-⌈ma KÙ⌉.B.*/ lá ⌈tù-/ha-/li⌉-[iq] i-hi-id-ma* KÙ.B. šé-bi₄-lam KÙ.B. 1 GÍN li-l[i]-⌈am⌉ KÙ.B. lá KÙ.B.-áp-/šu šu-<ut>-ma KÙ.B. I-dí-Sú-in,"Say to Elamma, thus IŠtar-pilah: ŠHinnāya holds 3 minas of tin under seal and one must not open Šthe packet) lest he gets angry. Take care to send me 1* mina of silver. That I did not write you (earlier) is because Hinnāya said: ‘If a message of yours arrives I will send it to you.’ (But now) I wrote: ‘Do not let the silver get lost, take care to send me the silverš’ May at least some silver be producedš The silver is not his silver, it is the silver of Iddin-Suenš”"
94. Kt 92/k 186 (1-146-92),a-na E-[lá-ma ù] Kur-ub-IŠta[r qí-bi-ma] a-na Kur-ub-IŠ[tar qí-bi-ma] um-ma Ku-ni-l[úm-ma] i-nu-mì E-na-h[i-li] lu-qú-tí : ir-de₈-e-n[i-ma] i-na É.GAL-lim : T[ÚG.HI.A] ma-ah-ri-kà im-nu-[ú] 16 TÚG.HI.A a-na [ ta-dí-in : ú *x [ x x x] tù-ša-li-m[a* x x] [x b]u?-na *[ x x x] reverse missing ⌈x-bu-um⌉* [ x x x x ] lu i-ta-ba-al i-n[a] KÙ.B. ša iš-tí *x x [ x x x],"Say to Elamma and Kurub-IŠtar, say especially to Kurub-IŠtar, thus KŠn-ilum: ŠWhen +nah-ilṣ brought my merchandise here and one counted the textiles in the palace in your presenc, you gave 16 textiles to/as .............. and you brought Šthe rest ?) safely to .......... ......................... ........................ he has/will indeed take(n) along from the silver that is due by .......”"
95. Kt 91/k 327 (1-184-91),um-ma Né-er-a-am-tum-ma a-na E-lá-ma qí-bi-ma ra-qá-tám ú TÚG : na-áš-ú-ni-kum iš-tí lu-qú-tí-kà ù ší-it-ra-am a-na Lá-ma-sí-tim a-na a-wa-tim ša ta-áš-pu-ra-ni a-wi-lu-um ih-tí-li-iq a-na ma-nim lá-aq-bi sà-ah-ra-<ku>-ma ú-lá a-le-e-ma ú-lá a-pá-al ša : ki : me-er-i-a né-nu lá nu-šé-ra-áb a-na-ku áp-lá-ah-ma uš-té-ri-ib li-ba-kà lá tù-lá-mì-in,"Thus Ner’amtum, say to Elamma: ŠThey are bringing you a thin textile and a normal one, together with your merchandise, and a shawl for Lamassutum. As for the matter about which you wrote me, the gentleman has perished/disappeared. To whom should I speak? I am staying here and I am unable to answer for it. We were not to bring in the house somebody to replace my son, (but) because I became afraid, I was the one who has now brought one in. Do not get angryš”"
96. Kt 91/k 531 (1-384-91),a-na E-la-ma qí-bi-ma um-ma Puzur₄-A-na-ma a-la-nu-kà a-ba-am ú bé-la-am ú-la i-šu a-ša iš-tí-kà la uš-ta-me-/ru li-ba-kà la tù-lá-ma-an ú-lá a-na ší-a-ma-tim a-la-ak a-té-er-tí É a-bi₄-ni a-la-ak um-ma a-na-ku-ma i-kà-lá-a-ni-ma bi₄-il₅-tám ú-ša-ša-a-ni aʾ-ki-am la uš-ta-me-/er iš-tí-kà : iš-tí lu-qú-tí-kà pá-ni-e-ma a-[x]*-re-a-am,"Say to Elamma, thus Puzur-Anna: ŠI have no father and lord but youš Don’t be angry because I did not turn up with you. I cannot travel to make purchases Šfor you), I must travel for an order of our paternal house. I thought: ‘He might detain me and force me to carry a load Šfor him)’ (and) for that reason I did not turn up with you. But with your next lot of merchandise I will ..........”"
97. Kt 91/k 459 (1-312-91),a-na E-lam-ma [qi-b]i-ma um-ma āu-Be-lúm-ma DUMU.MÍ A-šur-dan DUMU Zi-zi-/im ra-bi₄-ša-am iš-tù a-lím{ki} ta-aš-ba-at-ma ú-ša-am a-ma-kam wa-ša-áb šu-ma KÙ.B. lu URUDU ša ú-šé-lá-ku-ni ší-ma-am a-dí-ni la ta-áš-a-am KÙ.B. šé-ší-ma a-šar ku-wa-tí lí-ib-ší šu-ma ma-ma-an a-na KÙ.B. ša-ba-tim ir-ta-ag-*⌈ma-/kum⌉? KÙ.B. KÙ.B. kà-ri-im šu-ma a-na am-tim ú-la É-té ú-ṭá-hi be-tù ù [a-ma-t]um ša a-wi-[il₅-t]im a-na ni-ší a-wi-il₅-tim qi-ib-a-ma iš-tí-šu-nu le-ta-wu,"Say to Elamma, thus 'u-BŠlum: ŠThe daughter of AŠšur-dān, son of Zizum, has obtained an attorney from the City, who has left (and) is staying over there. If with the silver or copper that I sent up to you you have not yet made purchases, then remove the silver and let it stay where you are. Should anybody raise a claim against you in order to seize that silver, the silver belongs to the colony. If he makes an attempt at a slave-girl or the house, the house and the slave-girls belong to the ladyš Say to the personnel of the lady that he must negotiate with them.”"
98. Kt 91/k 456 (1-309-91),"1 TÚG ku-ta-nam 'u-lí DUMU Puzur₄-A-bé-eh A-lá-ha-am construed with ina libbi PN Šatawwum, e.g. CCT 5, 19a: 15; KTH ambiguity OA syllabic spelling 11 b. a-hu-ṭu : a-na E-lá-ma ú-kà-a-an : ṭu-ma lá ú-kà-i-in KÙ.B. ) ma-na 'u-lí : a-na E-lá-ma i-ṭa-qal iṭ-[tù] ha-mu-uṭ-tim ṭa A-ṭùr-ma-lík ša-lá-mì-im ki-ma a-wa-at kà-ri-im a-na 1 ma-na-e-em ší-ib-tám ú-ša-áb ⌈lí-mu-um⌉ [ṭ]a ⌈qá⌉-té ⌈Ba-z]i-a ⌈DUMU ']é-pá-lím* [ITU.KAM] na-ar-ma-ak-A-/ṭur [ṭ]a ke-na-tim IGI Ir-ma-A-ṭùr IGI Na-ar-me-a IGI En-nam-{d}⌈IŠKUR⌉ Šover erasure) IGI Ri-ma-nim","šuli, son of Puzur-Abeh, will confirm that Ali-ahum, and proof of a liability can be the result of šdiscussing, 16:19, TC 3, 270:45). Again, as noted in the previous has made some scholars derive forms of this verb his brother, owes 1 kutšnu-textile to Elamma. If he does not bring confirmation šuli will pay "" mina of silver to Elamma. Starting from the week eponymy of AŠṭur-mṣlik, the black one, he will add interest per mina according to the regulation of the colony. Eponymy of the successor of Baziya, son of šēp-ṣlum, month III. Witnesses: Ir’am-AŠṭur, Nar’am-Ea, Ennam-Adad, Rimṣnum"
99. Kt 91/k 488A/B,[] ma-na 6 GÍN KÙ.B. ša-ru-pá-am ma-na 6 GÍN KÙ.B.-ap₁-kà a-na,"1 mina 6 shekels of refined silver ŠOne has brought the 1 mina 6 shekels,"
100. Kt 91/k 311 (1-168-91),22 ṭu-ru-tum 11 ma-na 10 GÍN AN.NA 12 GÍN KÙ.B. ṭí-im 1/2 ku-ta-nim 2) ma-na KÙ.B. ṭí-im 5 ANŠE.HI.A i-li-bi₄ A-lá-hi-im a-na 2 ANŠE.HI.A ṭa E-lá-ma ù Lá-qé-ep A-lá-hu-um ù Hi-na-a uk-t[a]-/nu-ma a-ṭar i-bu-ru-ni ) ma-na.TA KÙ.B. E-la-ma ú La-qé-ep i-la-qé-ú IGI E-dí-na-a IGI En-um-A-ṭùr,"dark textiles, 11 minas 10 shekels of tin 12 shekels of silver the price of "" kutšnu- textile, (and) 2"" minas of silver, the price of 5 donkeys, are due by Ali-ahum. Concerning 2 donkeys belonging to Elamma and LŠ-qēp, Ali-ahum and Hinnṣya will establish who of them is liable and from him who proves to be it Elamma and LŠ-qēp will take "" mina of silver per (donkey). In the presence of Edinṣya, of Ennam-AŠṭur."
101. Kt 91/k 432 (1-285-91),AŠṭur-nṣdṣ pay,"of his he had acquired, whereupon AŠṭur-nṣdṣ"
102. Kt 91/k 298 (1-155-91),i-na ba-áb ha-ra-ni-/ṭu ṭa E-lá-ma um-ma Pí-lá-ah-A-ṭùr-ma a-na E-lá-ma-ma La-qé-[ep] DUMU 1-li-a : ku-nu-im AN.NA a-na 70 ha-am-ṭa-tim ⌈ú⌉-kà-lam um-ma E-lá-ma-/ma i-a-am AN.NA-ki le-qé-/ma gi₅-im-lá-ni a-na 20 ha-am-ṭa-/tim 8 GÍN.TA lá ta-ba-ta-/qám um-ma Pí-lá-ah-⌈A⌉-ṭur-ma] 8 GÍN.TA AN.[NA a-lá-qé-ma] a-ta-BA: mì-n[am ta-da-nam] um-ma E-lá-ma-[ma] ú a-na-ku iṭ-[tù] a-lim{ki} i-na [tù-a-ri-a] ⌈15⌉ ma-na KÙ.[B] a-da-na-kum a-n[a a-lim{ki}] tù-ṭé-ba-al : ṭí-a-m[a-tim] i-ṭa-ú-mu-ni-kum [t]a-be-el-ṭu IGI GÍR ṭa [A-ṭur] ⌈ṭí⌉-bu-tí . a-dí-in ———————————————————————————————— i-na ba-áb ha-ra-ni-/ṭu ṭa E-lá-ma um-ma Pí-lá-ah-A-ṭùr-ma 15 ma-na KÙ.B. ša-ru-/pá-am ni-is-ha-sú DIRI ṭa-du-a-sú ṭa-bu-ú a-dí-na-kum a-na A-lim{ki} i-na e-ra-bi-kà-ma 1 GÚ AN.NA ṭa-ma-a[m] ú a-ṭí-tí KÙ-pì-a TÚG.HI.A ṭa-ma-a[m] iṭ-tí ⌈ANŠE?⌉-ri-kà pá-ni-im ṭé-b[i₄-la]m um-ma E-lá-ma- ú-ṭé-ba-l[á-ku]m IGI GÍR /-ma ṭa A-⌈ṭur⌉ [ṭ]í-bu-tí a-dí-in,"When Elamma was about to set out on a journey Pilah-AŠṭur said to Elamma: ŠLŠ-qēp, the son of Iliya, who belongs to you(r firm), offers me tin with a credit term of 70 weeksš. Elamma answered: ŠTake my own tin and do me a favor by giving me Šfor it) not less than 8 shekels per Šshekel of silver) in 20 weeks.” Pilah-AŠṭur said: “[I will take] the tin at the rate of 8 shekels, but you, what will you [give me]?” Elamma answered: ŠAnd I , when I return from the City I will give you 15 minas of silver. You will send it to the City and one will make Šwith it) purchases for you, it will be at your disposal.” Before [AŠṭur’s] dagger I gave my testimony. When Elamma was about to set out on a journey Pilah-AŠṭur said: ŠI gave you 15 minas of refined silver, its excise added, its transport fee paid for. When you enter the City you must buy for me 1 talent of tin and for the rest of my silver buy textiles for me, send them to me with your next donkey transport.” Elamma answered: ŠI will send them to youš. Before AŠṭur’s dagger I gave my testimony."
103. Kt 91/k 411 (1-264-91),Pí-lá-ah-A-ṭ[ur a-na] E-lá-ma iš-ba-a[t-ni-a-tí-ma] um-ma Pí-lá-ah-A-ṭur-ma a-na E-lá-ma-ma a-na AN.NA-ki-kà ṭa ta-dí-na-ni . a-ga-mì-il₅-/kà 8 GÍN.TA KÙ.B a-na / a-lim/{ki} ú-ṭa-ak-ṭa-da-kà um-ma Pí-lá-ah-A-ṭur-ma a-na E-lá-ma-ma ù i-nu-mì a-na-ku a-na a-lim{ki} a-lu-ku 15 ma-na KÙ.B ta-da-nam-ma a-bé-e-el um-ma E-lá-ma-<ma> a-da-na-kum IGI Lá-qé-pí-im 'u-Be-lim : ù LUGAL-{d}IM tap-pá-ú-a : a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iṭ i-dí-n[i-ma] IGI GÍR ṭa [A-ṭur] ṭí-bu-tí [a-dí-in],"Pilah-AŠṭur seized [us] against Elamma and Pilah-AŠṭur said to Elamma: ŠWith respect to your tin that you gave me, I will do you a favor: I will supply you in the city silver at a rate of (1 shekel) per 8 shekels Šof tin). Pilah-AŠṭur also said to Elamma: ŠAnd when I go to the City will you then give me 15 minas of silver for my free disposal?” Elamma answered him: ŠI will give it to you.” In the presence of LŠ-qēpum; šu-BŠlum and šarrum-Adad, were my fellow witnesses. For these words the Kanesh colony made me available and [I gave] my testimony before [AŠṭur’s] dagger."
105. Kt 91/k 485 (1-338-91),a-na E-lá-ma qí-bi-ma um-ma A-hu-qar ù A-ṭùr-iṭ-tí-kál-ma a-na-kam 'u-Be-lúm ni-iš-ba-at-ma Šup-pá-am me-eh-ra-am ṭa Lá-qé-ep nu-ṭa-áṭ-me-ṭu-ma um-ma né-nu-ma ṭí-bu-ta-kà dí-in um-ma ṭu-ut-ma iṭ-tù pá-na-ma a-na Pí-lá-ah-A-ṭùr ṭí-bu-tí a-di-in KÙ.B. a-na a-lim{ki} ṭa-ak-ṭu-dam lá qá-bi né-ru-ub-ma me-eh-re ṭa ba-áb DINGIR ṭa ṭí-bu-tí-ṭu ṭa a-na Pì-lá-ah-A-ṭùr i-dí-nu ni-iṭ-me Lá-qí-ip tap-pá-i a-ma : me-eh-ri : ṭí-me a-ma-kam ma-lá-kà : a-na-kam Ib-ni-lí DUMU A-ṭùr-{d}UTUŠ{i} wa-ar-kà-sú nu-ṭa-⌈il₅⌉-ma ù e-ba-ru-uṭ-ṭu Ku-ni-lúm ù I-dí-IŠtar nu-ṭa-il₅-ma e(-lu-um ke-en₆ ú wa-ar-kà-tám i-ṭu šú-ha-ar-tám ta-da-nam lá ta-da-nam té-er-ta-kà li-li-kam,"Say to Elamma, thus Ahu-waqar and AŠṭuriṭ-tikal: ŠHere we seized šu-BŠlum and we made him listen to the tablet, a copy, of LŠ-qēp and we said to him: ‘Give your testimonyš’ He answered: ‘Some time ago I already gave my testimony to Pilah-AŠṭur (that) no promise has been made to deliver the silver to the City’. We entered and listened to Šthe text of) the copies of his testimony drawn up in the gate of the god, that he had given to Pilah-AŠṭur Šand they read): ‘LŠ-qēp was my companion’. Here is my copy, listen to it; it is up to you there Šwhat to do)’. Here we questioned Ibni-ilā, son of AŠṭur-ṭamṭā, about his record and we also questioned his friends, K'n-ilum and Iddin-IŠtar, and the result was: The man is reliable and has a (good) record. Let your instruction come to me whether the girl must be given or not."
106. Kt 91/k 401,KIŠIB 'u-Ku-bi-im KIŠIB 'u-IŠtar KIŠIB A-mur-/A-ṭur ṭa 2 GÚ AN.NA i-na e-lá AN.NA-ki-ṭu E-lá-ma a-na 'u-IŠtar a-na Bu-ru-uṭ-ha-t/im Šseal B; upside down) ⌈ú-ṭé⌉-ba-al-ṭu-ma Šseal B; upside down) i-na ma-hi-⌈ir⌉ i-za-zu 1 GÍN.TA : 'u-IŠtar ú-ma-lá-⌈ṭum⌉-ma KÙ.B. ša-ru-pá-am i-na e-ra-áb AN.NA-ki-ṭu i-ṭa-qal,"Seal of šu-K'bum, seal of šu-IŠtar, seal of Amur-IŠtar, that, when his tin comes up Šfrom Assur) Elamma will send 2 talents of tin to šu-IŠtar in Buruṭhattum and that šu-IŠtar will deliver in full to him 1 shekel Šof silver) per Šshekel of tin) above the current rate of exchange and that he will pay purified silver on the arrival of his tin."
107. Kt 91/k 475,[KIŠIB ']u-Be-lim KIŠIB A-ṭur-i-dí [ṭ]a E-lá-ma 'u-IŠtar ba-áb [h]a-ra-ni-ṭu iš-bu-tù-ma [u]m-ma E-lá-ma-ma 12) ma-na 7) GÍN KÙ[B.] Šupside down) ⌈ša⌉-ru-pá-am i-na e-ra-bi₄-/kà i-na Wa-ah-ṭu-ṭa-na ṭé-bi₄-lam ù ṭa ṭí-ti AN.NA-ki-a i-na Bu-ru-uṭ-ha-/tim i-na e-ra-bi₄-kà-ma ṭé-bi₄-lam ṭu-ma lá tù-ṭé-bi₄-lam,"Seal of šu-BŠlum, seal of AŠṭur-idā, (confirming) that Elamma seized šu-IŠtar when he was about to go on a journey and that Elamma said to him: “12 minas and 37"" shekels of refined silver you must send me when you enter Wahṭuṭana. And what Šis due) for the remainder of my tin you must send me when you enter Buruṭhattum. If you fail to do so,"
108. Kt 91/k 346 (1-203-91),1 GÚ 20 ma-na URUDU lá-mu-nu-um i-na ma-ša-ar-tim ṭa A-mur-A-ṭur A-ṭur-na-da ⌈E-lá⌉-ma ù A-ṭur-SIPA [ú]-⌈ṭé⌉-ší-ú [A]-ṭur-na-da ki-ma KÙ-pí-/ṭu ⌈e⌉-ru-ub E-lá-ma ⌈ù⌉ A-ṭur-SIPA [k]i-ma um-mì-a-ni [e-r]u-bu [A]-ṭur-ni-ṭu [ki-ma] Ku-ra e-ru-ub ⌈IGI⌉ A-ṭur-na-da IGI Zi-kà-i IGI Ar-ṭi-ah IGI Ku-ku-lá-nim IGI E-lá-li-a Šup-pí-ṭu ib-ri-ú-ma ù ṭu-nu-ma ik-nu-ku-ma a-na ma-ša-ar-tim ú-ṭé-ri-bu,"1 talent and 20 minas of poor copper AŠṭur-nṣdṣ, Elamma and AŠṭur-rē’ā brought out of the strong-room of Amur-AŠṭur. AŠṭur-nṣdṣ entered on account of his own Šclaim on) silver, Elamma and AŠṭur-rē’ā entered in the name of the investors, AŠṭur-niṭ' entered representing Kura. Witnessed by AŠṭur-nṣdṣ, Zikayi Arṭi-ah, Kukkulṣnum, and Elṣliya. They inspected his tablets and they were also the ones who sealed them (again) and brought them (again) into the strong-room."
109. Kt 91/k 334 (1-191-34),a-ma-kam i-na be-el id-ma-tim ṭa ki-ma um-mì-a-né ma-ma-an : mì-ma ú-lá i-(á-hi a-ma-lá Šup-pì-im ṭa a-lim{ki} i-ṭa-ri-iq-ṭu-/um,"Over there no one of the share-holders representing the investors shall approach anything. According to the tablet of the City, Šif he does) it will be considered as stolen by him."
