id,transliteration,translation
199,a-šu-um ṭup-pám ša a-hu-a a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that my brother sent to the palace, I have heard about it here."
200,um-ma a-bi-a-ma a-na a-wi-lim ú a-wi-lim qí-bi-ma,Thus says my father: Speak to the boss and the boss:
201,ki-ma a-ha-tí-kà me-tù-ni ma-ṣa-ru lu-qú-tám i-ki-mu-ni,"When your sister died, the guards deprived me of the merchandise."
202,iš-tù bu-ru-uš-ha-tum a-na É.GAL-lim a-li-ik-ma <gap> ba-qí-ir,Go from Burushhattum to the palace and claim <gap>.
203,a-šu-um URUDU dam-qám ša ma-ṣa-ru a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that guards sent to Kanesh, I have heard about it here."
204,um-ma DAM.GÀR-ma a-na a-ha-tí-kà qí-bi-ma,Thus says the merchant: Speak to your sister:
205,5 GÍN TÚG.HI.A a-na DAM.GÀR di-in-ma šé-bi-lam,Give 5 shekels of textiles to the merchant and send it to me.
206,lu-qú-tum a-na ha-hi-im e-ru-ub-ma a-bi-a ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and my father will take the deduction-taxes."
207,2 bi-lá-tim ṭup-pám a-na a-ha-tí-kà di-in-ma šé-bi-lam,Give 2 talents of the tablet to your sister and send it to me.
208,10 ma-na lu-qú-tám i-na bu-ru-uš-ha-tum a-na wa-ar-di-ni áš-qúl,I paid 10 minas of merchandise to our slave in Burushhattum.
209,iš-tù ha-hi-im a-na bu-ru-uš-ha-tum a-li-ik-ma ŠE ba-qí-ir,Go from Hahhum to Burushhattum and claim the grain.
210,šu-ma Pú-zur4-A-šur AN.NA lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If Puzur-Ashur does not send the tin to me, I will write to Kanesh."
211,um-ma A-šur-na-da-ma a-na DAM.GÀR ú ma-ṣa-ru qí-bi-ma,Thus says Ashur-nada: Speak to the merchant and the guards:
212,ki-ma ru-ba-im me-tù-ni um-mì-a KÙ.BABBAR i-ki-mu-ni,"When the king died, my mother deprived me of the silver."
213,ṭup-pám ša A-šur-na-da a-mur-ma KÙ.GI šé-bi-lam,Examine the tablet of Ashur-nada and send the gold.
214,iš-tù bu-ru-uš-ha-tum a-na É DAM.GÀR a-li-ik-ma KÙ.GI ba-qí-ir,Go from Burushhattum to the merchant's house and claim the gold.
215,a-šu-um ŠE ša ru-ba-im a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that king sent to Wahshushana, I have heard about it here."
216,Pú-zur4-A-šur a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"Puzur-ashur was overwhelmed by his debts, and he fled."
217,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and the guards will take the deduction-taxes."
218,a-bi-a me-et ú ni-kà-sú-šu sà-ah-ú,"My father is dead, and his accounts are in a mess."
219,a-na a-hu-a šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that my brother, he will embezzle the silver."
220,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and the judge will take the deduction-taxes."
221,ki-ma DAM.GÀR me-tù-ni ši-ip-ri-ni URUDU dam-qám i-ki-mu-ni,"When the merchant died, our messenger deprived me of the fine copper."
222,a-na ši-ip-ri-ni qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to our messenger: thus says Puzur-Ashur.
223,um-ma a-hu-a-ma a-na a-bi-a qí-bi-ma,Thus says my brother: Speak to my father:
224,um-ma kà-ru-um É DAM.GÀR-ma a-na a-bi-a qí-bi-ma,Thus says the merchant's house colony: Speak to my father:
225,a-na a-hu-a qí-bi-ma um-ma a-wi-lim-ma,Speak to my brother: thus says the boss.
226,ṭup-pám ša um-mì-a a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of my mother and send the textiles.
227,2 bi-lá-tim URUDU dam-qám i-na bu-ru-uš-ha-tum a-na um-mì-a áš-qúl,I paid 2 talents of fine copper to my mother in Burushhattum.
228,ṭup-pám ša um-mì-a a-mur-ma ṭup-pám šé-bi-lam,Examine the tablet of my mother and send the tablet.
229,ṭup-pám ša a-hu-a a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of my brother and send the textiles.
230,a-na DAM.GÀR šu-a-tí lá ta-ta-kà-al URUDU dam-qám i-kà-al,"Do not trust that merchant, he will embezzle the fine copper."
231,1 me-at ŠE i-na É DAM.GÀR a-na a-wi-lim áš-qúl,I paid 100 units of grain to the boss in the merchant's house.
232,iš-tù kà-ni-iš a-na ha-hi-im a-li-ik-ma kà-ni-kám ba-qí-ir,Go from Kanesh to Hahhum and claim the sealed document.
233,um-ma ru-ba-im-ma a-na ši-ip-ri-ni ú a-hu-a qí-bi-ma,Thus says the king: Speak to our messenger and my brother:
234,um-ma kà-ru-um É.GAL-lim-ma a-na DAM.GÀR qí-bi-ma,Thus says the palace colony: Speak to the merchant:
235,ma-ṣa-ru me-et ú ni-kà-sú-šu sà-ah-ú,"The guards is dead, and his accounts are in a mess."
236,šu-ma wa-ar-di-ni ŠE lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If our slave does not send the grain to me, I will write to Burushhattum."
237,a-šu-um kà-ni-kám ša ši-ip-ri-ni a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that our messenger sent to Wahshushana, I have heard about it here."
238,a-na da-a-a-nu-um šu-a-tí lá ta-ta-kà-al TÚG.HI.A i-kà-al,"Do not trust that judge, he will embezzle the textiles."
239,a-šu-um ṭup-pám ša da-a-a-nu-um a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that judge sent to Wahshushana, I have heard about it here."
240,wa-ar-di-ni me-et ú ni-kà-sú-šu sà-ah-ú,"Our slave is dead, and his accounts are in a mess."
241,um-ma kà-ru-um É DAM.GÀR-ma a-na wa-ar-di-ni qí-bi-ma,Thus says the merchant's house colony: Speak to our slave:
242,1 GÍN AN.NA i-na É.GAL-lim a-na a-wi-lim áš-qúl,I paid 1 shekel of tin to the boss in the palace.
243,1/3 ma-na KÙ.GI a-na a-ha-tí-kà di-in-ma šé-bi-lam,Give one-third of a mina of gold to your sister and send it to me.
244,lu-qú-tum a-na ha-hi-im e-ru-ub-ma A-šur-na-da ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and Ashur-nada will take the deduction-taxes."
245,1 me-at AN.NA i-na <gap> a-na DAM.GÀR áš-qúl,I paid 100 units of tin to the merchant in <gap>.
246,a-šu-um ṭup-pám ša da-a-a-nu-um a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that judge sent to Burushhattum, I have heard about it here."
247,ru-ba-im a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"The king was overwhelmed by his debts, and he fled."
248,5 GÍN <gap> i-na ha-hi-im a-na DAM.GÀR áš-qúl,I paid 5 shekels of <gap> to the merchant in Hahhum.
249,ki-ma um-mì-a me-tù-ni ši-ip-ri-ni ŠE i-ki-mu-ni,"When my mother died, our messenger deprived me of the grain."
250,5 GÍN TÚG.HI.A a-na a-ha-tí-kà di-in-ma šé-bi-lam,Give 5 shekels of textiles to your sister and send it to me.
251,lu-qú-tum a-na <gap> e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and the guards will take the deduction-taxes."
252,um-ma um-mì-a-ma a-na A-šur-na-da ú a-bi-a qí-bi-ma,Thus says my mother: Speak to Ashur-nada and my father:
253,a-šu-um AN.NA ša ru-ba-im a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that king sent to the City, I have heard about it here."
254,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that your sister, he will embezzle the tin."
255,2 bi-lá-tim ŠE i-na kà-ni-iš a-na ru-ba-im áš-qúl,I paid 2 talents of grain to the king in Kanesh.
256,1 ma-na KÙ.GI i-na kà-ri-im a-na <gap> áš-qúl,I paid 1 mina of gold to <gap> in the colony.
257,<gap> ṭup-pám a-na DAM.GÀR di-in-ma šé-bi-lam,Give <gap> of the tablet to the merchant and send it to me.
258,iš-tù kà-ri-im a-na a-lim(ki) a-li-ik-ma <gap> ba-qí-ir,Go from the colony to the City and claim the <gap>.
259,1/3 ma-na URUDU dam-qám a-na a-ha-tí-kà di-in-ma šé-bi-lam,Give one-third of a mina of fine copper to your sister and send it to me.
260,šu-ma ma-ṣa-ru URUDU dam-qám lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If the guards does not send the fine copper to me, I will write to the City."
261,a-šu-um ŠE ša A-šur-na-da a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that Ashur-nada sent to Kanesh, I have heard about it here."
262,a-wi-lim me-et ú ni-kà-sú-šu sà-ah-ú,"The boss is dead, and his accounts are in a mess."
263,um-ma <gap>-ma a-na a-hu-a ú a-wi-lim qí-bi-ma,Thus says <gap>: Speak to my brother and the boss:
264,um-ma a-hu-a-ma a-na DAM.GÀR qí-bi-ma,Thus says my brother: Speak to the merchant:
265,2 bi-lá-tim kà-ni-kám i-na kà-ni-iš a-na a-hu-a áš-qúl,I paid 2 talents of the sealed document to my brother in Kanesh.
266,a-šu-um KÙ.GI ša ši-ip-ri-ni a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that our messenger sent to the merchant's house, I have heard about it here."
267,a-na ši-ip-ri-ni šu-a-tí lá ta-ta-kà-al URUDU dam-qám i-kà-al,"Do not trust that our messenger, he will embezzle the fine copper."
268,um-ma DAM.GÀR-ma a-na a-wi-lim ú a-wi-lim qí-bi-ma,Thus says the merchant: Speak to the boss and the boss:
269,a-ma-kam a-hu-a ša-e-il5-ma té-er-ta-kà li-li-kam,Question my brother there and let your instruction come to me.
270,5 GÍN lu-qú-tám a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give 5 shekels of merchandise to the guards and send it to me.
271,um-ma <gap>-ma a-na ru-ba-im ú a-wi-lim qí-bi-ma,Thus says <gap>: Speak to the king and the boss:
272,ki-ma ma-ṣa-ru me-tù-ni A-šur-na-da KÙ.BABBAR i-ki-mu-ni,"When the guards died, Ashur-nada deprived me of the silver."
273,a-na ši-ip-ri-ni qí-bi-ma um-ma ru-ba-im-ma,Speak to our messenger: thus says the king.
274,10 ma-na kà-ni-kám a-na a-wi-lim di-in-ma šé-bi-lam,Give 10 minas of the sealed document to the boss and send it to me.
275,a-šu-um kà-ni-kám ša a-bi-a a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that my father sent to Hahhum, I have heard about it here."
276,ki-ma a-bi-a me-tù-ni a-wi-lim TÚG.HI.A i-ki-mu-ni,"When my father died, the boss deprived me of the textiles."
277,a-šu-um AN.NA ša a-ha-tí-kà a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that your sister sent to Hahhum, I have heard about it here."
278,iš-tù É.GAL-lim a-na É DAM.GÀR a-li-ik-ma ṭup-pám ba-qí-ir,Go from the palace to the merchant's house and claim the tablet.
279,um-ma da-a-a-nu-um-ma a-na ši-ip-ri-ni ú a-ha-tí-kà qí-bi-ma,Thus says the judge: Speak to our messenger and your sister:
280,1 ma-na ŠE i-na <gap> a-na a-ha-tí-kà áš-qúl,I paid 1 mina of grain to your sister in <gap>.
281,a-šu-um AN.NA ša ma-ṣa-ru a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that guards sent to Hahhum, I have heard about it here."
282,ki-ma A-šur-na-da me-tù-ni a-hu-a kà-ni-kám i-ki-mu-ni,"When Ashur-nada died, my brother deprived me of the sealed document."
283,a-na da-a-a-nu-um qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to the judge: thus says Puzur-Ashur.
284,a-na um-mì-a šu-a-tí lá ta-ta-kà-al TÚG.HI.A i-kà-al,"Do not trust that my mother, he will embezzle the textiles."
285,um-ma kà-ru-um wa-ah-šu-ša-na-ma a-na wa-ar-di-ni qí-bi-ma,Thus says the Wahshushana colony: Speak to our slave:
286,šu-ma a-hu-a ŠE lá u-šé-bi-lam a-na É.GAL-lim a-ša-par,"If my brother does not send the grain to me, I will write to the palace."
287,um-ma kà-ru-um a-lim(ki)-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says the City colony: Speak to our messenger:
288,5 GÍN KÙ.BABBAR a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 5 shekels of silver to our messenger and send it to me.
289,ṭup-pám ša a-wi-lim a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of the boss and send the fine copper.
290,1/3 ma-na URUDU dam-qám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give one-third of a mina of fine copper to our messenger and send it to me.
291,1/3 ma-na kà-ni-kám i-na É.GAL-lim a-na A-šur-na-da áš-qúl,I paid one-third of a mina of the sealed document to Ashur-nada in the palace.
292,a-na a-wi-lim šu-a-tí lá ta-ta-kà-al kà-ni-kám i-kà-al,"Do not trust that boss, he will embezzle the sealed document."
293,um-ma a-bi-a-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says my father: Speak to Puzur-Ashur:
294,a-šu-um ŠE ša um-mì-a a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that my mother sent to the merchant's house, I have heard about it here."
295,iš-tù É DAM.GÀR a-na kà-ri-im a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the merchant's house to the colony and claim the textiles.
296,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that Ashur-nada, he will embezzle the grain."
297,um-ma a-ha-tí-kà-ma a-na DAM.GÀR ú a-hu-a qí-bi-ma,Thus says your sister: Speak to the merchant and my brother:
298,šu-ma da-a-a-nu-um kà-ni-kám lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If the judge does not send the sealed document to me, I will write to the City."
299,šu-ma a-ha-tí-kà lu-qú-tám lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If your sister does not send the merchandise to me, I will write to Hahhum."
300,DAM.GÀR me-et ú ni-kà-sú-šu sà-ah-ú,"The merchant is dead, and his accounts are in a mess."
301,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma a-wi-lim ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and the boss will take the deduction-taxes."
302,ṭup-pám ša a-wi-lim a-mur-ma ŠE šé-bi-lam,Examine the tablet of the boss and send the grain.
303,iš-tù É.GAL-lim a-na kà-ni-iš a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the palace to Kanesh and claim the textiles.
304,šu-ma a-wi-lim KÙ.BABBAR lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If the boss does not send the silver to me, I will write to the merchant's house."
305,1/3 ma-na lu-qú-tám i-na ha-hi-im a-na um-mì-a áš-qúl,I paid one-third of a mina of merchandise to my mother in Hahhum.
306,um-ma <gap>-ma a-na A-šur-na-da qí-bi-ma,Thus says <gap>: Speak to Ashur-nada:
307,a-ma-kam ru-ba-im ša-e-il5-ma té-er-ta-kà li-li-kam,Question the king there and let your instruction come to me.
308,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that king, he will embezzle the grain."
309,iš-tù a-lim(ki) a-na kà-ni-iš a-li-ik-ma kà-ni-kám ba-qí-ir,Go from the City to Kanesh and claim the sealed document.
310,ṭup-pám ša a-wi-lim a-mur-ma AN.NA šé-bi-lam,Examine the tablet of the boss and send the tin.
311,a-ma-kam ma-ṣa-ru ša-e-il5-ma té-er-ta-kà li-li-kam,Question the guards there and let your instruction come to me.
312,um-ma ši-ip-ri-ni-ma a-na a-bi-a ú da-a-a-nu-um qí-bi-ma,Thus says our messenger: Speak to my father and the judge:
313,1 me-at AN.NA i-na kà-ri-im a-na da-a-a-nu-um áš-qúl,I paid 100 units of tin to the judge in the colony.
314,1 GÍN <gap> a-na a-bi-a di-in-ma šé-bi-lam,Give 1 shekel of <gap> to my father and send it to me.
315,iš-tù É DAM.GÀR a-na wa-ah-šu-ša-na a-li-ik-ma ṭup-pám ba-qí-ir,Go from the merchant's house to Wahshushana and claim the tablet.
316,a-na A-šur-na-da qí-bi-ma um-ma DAM.GÀR-ma,Speak to Ashur-nada: thus says the merchant.
317,um-ma a-bi-a-ma a-na ru-ba-im qí-bi-ma,Thus says my father: Speak to the king:
318,a-na ru-ba-im qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to the king: thus says Puzur-Ashur.
319,iš-tù a-lim(ki) a-na kà-ri-im a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the City to the colony and claim the textiles.
320,iš-tù É DAM.GÀR a-na bu-ru-uš-ha-tum a-li-ik-ma AN.NA ba-qí-ir,Go from the merchant's house to Burushhattum and claim the tin.
321,ki-ma ši-ip-ri-ni me-tù-ni DAM.GÀR KÙ.GI i-ki-mu-ni,"When our messenger died, the merchant deprived me of the gold."
322,2 bi-lá-tim AN.NA a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 2 talents of tin to Puzur-Ashur and send it to me.
323,iš-tù ha-hi-im a-na wa-ah-šu-ša-na a-li-ik-ma KÙ.GI ba-qí-ir,Go from Hahhum to Wahshushana and claim the gold.
324,um-ma Pú-zur4-A-šur-ma a-na a-bi-a ú da-a-a-nu-um qí-bi-ma,Thus says Puzur-Ashur: Speak to my father and the judge:
325,um-ma um-mì-a-ma a-na Pú-zur4-A-šur ú a-bi-a qí-bi-ma,Thus says my mother: Speak to Puzur-Ashur and my father:
326,um-ma ru-ba-im-ma a-na ši-ip-ri-ni ú ma-ṣa-ru qí-bi-ma,Thus says the king: Speak to our messenger and the guards:
327,šu-ma Pú-zur4-A-šur lu-qú-tám lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If Puzur-Ashur does not send the merchandise to me, I will write to Kanesh."
328,a-na ši-ip-ri-ni šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that our messenger, he will embezzle the silver."
329,um-ma DAM.GÀR-ma a-na Pú-zur4-A-šur ú a-bi-a qí-bi-ma,Thus says the merchant: Speak to Puzur-Ashur and my father:
330,a-šu-um ŠE ša ru-ba-im a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that king sent to the colony, I have heard about it here."
331,a-na da-a-a-nu-um qí-bi-ma um-ma um-mì-a-ma,Speak to the judge: thus says my mother.
332,a-na a-wi-lim šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that boss, he will embezzle the gold."
333,iš-tù bu-ru-uš-ha-tum a-na É DAM.GÀR a-li-ik-ma <gap> ba-qí-ir,Go from Burushhattum to the merchant's house and claim the <gap>.
334,um-ma DAM.GÀR-ma a-na a-wi-lim qí-bi-ma,Thus says the merchant: Speak to the boss:
335,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and the merchant will take the deduction-taxes."
336,šu-ma a-hu-a KÙ.BABBAR lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If my brother does not send the silver to me, I will write to the City."
337,a-ma-kam da-a-a-nu-um ša-e-il5-ma té-er-ta-kà li-li-kam,Question the judge there and let your instruction come to me.
338,<gap> kà-ni-kám a-na a-ha-tí-kà di-in-ma šé-bi-lam,Give <gap> of the sealed document to your sister and send it to me.
339,iš-tù a-lim(ki) a-na ha-hi-im a-li-ik-ma ŠE ba-qí-ir,Go from the City to Hahhum and claim the grain.
340,a-šu-um lu-qú-tám ša ma-ṣa-ru a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that guards sent to the colony, I have heard about it here."
341,1/3 ma-na TÚG.HI.A a-na a-hu-a di-in-ma šé-bi-lam,Give one-third of a mina of textiles to my brother and send it to me.
342,a-na a-bi-a šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that my father, he will embezzle the tin."
343,2 bi-lá-tim TÚG.HI.A a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 2 talents of textiles to Puzur-Ashur and send it to me.
344,ki-ma A-šur-na-da me-tù-ni ma-ṣa-ru KÙ.BABBAR i-ki-mu-ni,"When Ashur-nada died, the guards deprived me of the silver."
345,iš-tù ha-hi-im a-na É.GAL-lim a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Hahhum to the palace and claim the fine copper.
346,um-ma DAM.GÀR-ma a-na da-a-a-nu-um ú a-wi-lim qí-bi-ma,Thus says the merchant: Speak to the judge and the boss:
347,ki-ma <gap> me-tù-ni ru-ba-im lu-qú-tám i-ki-mu-ni,"When <gap> died, the king deprived me of the merchandise."
348,1 GÍN lu-qú-tám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 1 shekel of merchandise to our messenger and send it to me.
349,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma um-mì-a ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and my mother will take the deduction-taxes."
350,ki-ma ru-ba-im me-tù-ni a-ha-tí-kà TÚG.HI.A i-ki-mu-ni,"When the king died, your sister deprived me of the textiles."
351,1 me-at ṭup-pám i-na <gap> a-na um-mì-a áš-qúl,I paid 100 units of the tablet to my mother in <gap>.
352,10 ma-na <gap> i-na kà-ni-iš a-na wa-ar-di-ni áš-qúl,I paid 10 minas of <gap> to our slave in Kanesh.
353,a-na DAM.GÀR šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that merchant, he will embezzle the grain."
354,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says the Burushhattum colony: Speak to Puzur-Ashur:
355,a-šu-um ṭup-pám ša ma-ṣa-ru a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that guards sent to the palace, I have heard about it here."
356,1 GÍN URUDU dam-qám i-na a-lim(ki) a-na a-hu-a áš-qúl,I paid 1 shekel of fine copper to my brother in the City.
357,a-na <gap> qí-bi-ma um-ma DAM.GÀR-ma,Speak to <gap>: thus says the merchant.
358,um-ma da-a-a-nu-um-ma a-na a-hu-a qí-bi-ma,Thus says the judge: Speak to my brother:
359,šu-ma DAM.GÀR KÙ.BABBAR lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If the merchant does not send the silver to me, I will write to Wahshushana."
360,ki-ma a-hu-a me-tù-ni da-a-a-nu-um KÙ.BABBAR i-ki-mu-ni,"When my brother died, the judge deprived me of the silver."
361,a-šu-um kà-ni-kám ša um-mì-a a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that my mother sent to Kanesh, I have heard about it here."
362,a-šu-um TÚG.HI.A ša a-wi-lim a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that boss sent to the merchant's house, I have heard about it here."
363,1 me-at ṭup-pám a-na a-hu-a di-in-ma šé-bi-lam,Give 100 units of the tablet to my brother and send it to me.
364,1 me-at ṭup-pám i-na kà-ri-im a-na a-bi-a áš-qúl,I paid 100 units of the tablet to my father in the colony.
365,ṭup-pám ša da-a-a-nu-um a-mur-ma KÙ.GI šé-bi-lam,Examine the tablet of the judge and send the gold.
366,1 me-at kà-ni-kám i-na É DAM.GÀR a-na Pú-zur4-A-šur áš-qúl,I paid 100 units of the sealed document to Puzur-Ashur in the merchant's house.
367,1 me-at ŠE i-na a-lim(ki) a-na a-bi-a áš-qúl,I paid 100 units of grain to my father in the City.
368,um-ma ši-ip-ri-ni-ma a-na Pú-zur4-A-šur ú da-a-a-nu-um qí-bi-ma,Thus says our messenger: Speak to Puzur-Ashur and the judge:
369,iš-tù kà-ri-im a-na kà-ni-iš a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the colony to Kanesh and claim the textiles.
370,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and the merchant will take the deduction-taxes."
371,um-ma Pú-zur4-A-šur-ma a-na a-wi-lim ú a-ha-tí-kà qí-bi-ma,Thus says Puzur-Ashur: Speak to the boss and your sister:
372,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that our slave, he will embezzle the tablet."
373,5 GÍN AN.NA i-na kà-ni-iš a-na um-mì-a áš-qúl,I paid 5 shekels of tin to my mother in Kanesh.
374,ṭup-pám ša a-ha-tí-kà a-mur-ma ŠE šé-bi-lam,Examine the tablet of your sister and send the grain.
375,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and the merchant will take the deduction-taxes."
376,ṭup-pám ša DAM.GÀR a-mur-ma ŠE šé-bi-lam,Examine the tablet of the merchant and send the grain.
377,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and the merchant will take the deduction-taxes."
378,a-na um-mì-a qí-bi-ma um-ma ma-ṣa-ru-ma,Speak to my mother: thus says the guards.
379,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma a-hu-a ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and my brother will take the deduction-taxes."
380,a-na DAM.GÀR qí-bi-ma um-ma a-bi-a-ma,Speak to the merchant: thus says my father.
381,um-ma <gap>-ma a-na wa-ar-di-ni ú a-wi-lim qí-bi-ma,Thus says <gap>: Speak to our slave and the boss:
382,2 bi-lá-tim ŠE a-na a-hu-a di-in-ma šé-bi-lam,Give 2 talents of grain to my brother and send it to me.
383,a-šu-um TÚG.HI.A ša a-bi-a a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that my father sent to Wahshushana, I have heard about it here."
384,a-šu-um ṭup-pám ša um-mì-a a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that my mother sent to Burushhattum, I have heard about it here."
385,ṭup-pám ša ru-ba-im a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of the king and send the fine copper.
386,1 GÍN URUDU dam-qám i-na ha-hi-im a-na a-hu-a áš-qúl,I paid 1 shekel of fine copper to my brother in Hahhum.
387,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na DAM.GÀR qí-bi-ma,Thus says the Burushhattum colony: Speak to the merchant:
388,ki-ma a-bi-a me-tù-ni a-hu-a TÚG.HI.A i-ki-mu-ni,"When my father died, my brother deprived me of the textiles."
389,1 ma-na AN.NA a-na A-šur-na-da di-in-ma šé-bi-lam,Give 1 mina of tin to Ashur-nada and send it to me.
390,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says the Burushhattum colony: Speak to our messenger:
391,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that our slave, he will embezzle the merchandise."
392,iš-tù <gap> a-na É DAM.GÀR a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from <gap> to the merchant's house and claim the textiles.
393,šu-ma <gap> ŠE lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If <gap> does not send the grain to me, I will write to Burushhattum."
394,a-na DAM.GÀR qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to the merchant: thus says our messenger.
