oa,english
"lá e-ha-sí","He shall not marry her!"
"mi-ma té-zi-bu: lu ba-áb-tám ṣa-bi4-sí","Seize everything she left behind, also outstanding claims."
"a-hu-ú-a a-tù-nu i-ih-da a-wi-lum KÙ.B. ma-dam [i]-ta-ba-al","Please, my brothers, take care, (for) the man may take along a lot of silver."
"bu-lá-tí-<a> šar-ší-a-ni","Make me obtain my assets!"
"um-ma A-[x x x a-na] Li-ba-[a qi-bi-ma] lu-qú-tí: šál-ma-a[t] ú a-na-ku šál-ma-[ku]","Thus A, say to Libaya: My merchandise is safe, and I myself am also well."
"ta-áš-pu-ra-am um-ma a-t[a-ma] 1 GÚ 30 ma-na KÙ.B. e-zi-ib","You wrote me as follows: I left behind 1½ talent of silver."
"mi-iš-lam al-qe mi-iš-lam ha-la-aq","Half of it I collected, half of it is lost."
"a-na Ku-ni-[lim] qi-bi4-ma [um-ma] A-mur-A-šùr-ma a-šu-mì [URUDU] ša A-šùr-UTU ša ta-áš-pu-ra-ni um-ma a-ta-ma i-nu-mì a-ta-al-kà-ni URUDU i-na ba-áb-ti-a: áš-lu-uṭ-ma áp-qí-da-ku-nu-tí um-ma a-na-ku-ma URUDU šé-ṣí-a-ma: 3½ GÚ URUDU a-na A-šùr-UTU šé-bi4-lá","Say to Kūn-ilum, thus Amur-Aššur: As for Aššur-šamšī's copper, about which you wrote me, saying: When I left I decided to entrust to you (the collection of) copper from my outstanding claims, saying: Produce the copper and send 3½ talents of copper to Aššur-šamšī."
"i-na ba-áb-tim ša ta-áš-lu-ṭù-ni-a-ti-ni 1 GÚ 3 ma-na ša Šu-mì-a-ar ha-bu-lu: Šu-mì-a-ar i-mu-ut-ma: me-er-ú-šu i-na Ku-na-na-mi-it a-di u4-mi-im a-nim uš-bu-ma URUDU i-ta-am-ṣa-ar","Of the outstanding claims you authorized us to collect, 1 talent 3 minas are owed by Šumi'ar, (but) Šumi'ar has died and his sons live until today in Kunanamit, so that the copper has been tied up."
"a-ni: i-li-ku-nim-ma 23 ma-na URUDU SIG5 nu-ku-ra-e: e-ta-wu um-ma šu-nu-ma 40 ma-na-e-ma ší-im hi-dim KÙ.KI a-bu-ni ha-bu-ul","They have now come here, but they contested 23 minas of the copper, saying: Our father only owes 40 minas, the price of a golden bead!"
"um-ma a-na-ku-ma 40 ma-na ší-im hi-dim KÙ.KI ù 23 ma-na ší-im AN.NA iš-té-ni-iš 1 GÚ 3 ma-na a-bu-ku-nu ha-bu-ul","I answered them: 40 minas, the price of the golden bead plus 23 minas, the price of tin, together 1 talent 3 minas is what your father owes!"
"um-ma šu-nu-ma URUDU né-ma-ra-ku-um-ma ù ta-ta-ma: ta-lá-qé","They said: We will find the copper for you and then, when you swear you can take it."
"1 GÚ ša Du-du-na ha-bu-lu aṣ-ba-sú-ma um-ma šu-ut-ma URUDU lá i-šu a-ṣí-ib-tim li-is-hu-ra-am","As for the 1 talent that Duduna owes, I seized him and he said: I have no copper, let it become interest bearing."
"a-na 1 GÚ URUDU SIG5 1 GÚ 30 ma-na URUDU SIG5 a-na da-áš-e i-ša-qal","For the 1 talent of refined copper he will pay 1½ talent of refined copper, in late spring."
"43 ma-na URUDU ší-im am-tim [x] Zi-zu-ul-a-a-li","43 minas of copper, the price of a slave-girl, is Zizulayali."
"um-ma Is-ma-A-šùr-ma a-na En-um-A-šùr [A]-šùr-iš-tí-kál [x x]-nu-u[m] [ù E]n-na-nim [qi-bi-ma] [a-na A-šùr-i]š-tí-kál [qí-bi]-ma ½ ma-na KÙ.B. a-na-[kam] B[u2-ṣ]ú2-a: mi-is-lá [x x]-ku-ni i-na ba-áb: ha-ra-ni-a i [x x -t]a2-bi2-lá-ni-ma [ṭup-pá-am: il5]-pu-ut-ma a-ta: qá-ta-tù-a","Thus Išme-Aššur, say to Ennum-Aššur, Aššuriš-tikal, <gap>num, and Ennānum, and in particular to Aššuriš-tikal: ½ mina of silver, here Buṣu'a for half of it when I was about to start my journey he has <gap> me and he drew up a record with you as guarantor."
"ú um-ma a-ta-ma wa-a[r]-kà-at-kà-ma <gap> <gap> ku-ta-nam: dí-na-am-ma a-na KÙ.B.: ú ṣí-ib-tí-šu a-na-ku lá-zi-iz a-[x x] ta-kà-ší-dí-ni","And you said: After your departure <gap> <gap> Give me a kutanu-textile then I will take responsibility for the silver and the interest on it until you can reach me."
"a-dí: u4-mi-im: a-ni-im a-ma-kam: [w]a-áš-ba-tí","You are staying there until this very day."
"ú a-na-ku ku-a-tí: ta-ak-lá-ku-ma a-dí: u4-mi-im: a-ni-im [iš]-tí: a-hi-im ú eb-ri-im ku-ta-nam: lá ú-šé-bi4-lam-ma a-ma-kam a-na KÙ.B.: lá i-dí-<in> KÙ.B. a-na Zu-ú-lu lá i-x [x]","And I, I trusted you, but until this very day he did not send me a kutanu-textile with a friend or colleague, nor did he sell it over there and give the silver to Zūlu."
"a-ta: a-na u4-[mi-im a-nim] ta-áš-ta-p[u x x x]","And you, until this very day you have kept silent!"
"A-šùr ú i-lu-ú a-[bi-n]i l[i-ṭù-l]á [x x x x [x x]] dí-in [x x x x x x]-ni","Aššur and the god(s) of our father may witness <gap> give <gap>"
"a-na Ba-zi-a qi-bi4-ma um-ma A-ru-na-ah-šu-ma a-le-e: i-lu-ú ša i-ta-mu-ú-ni","Say to Baziya, thus Arunahšu: Where is the god by whom the oath was sworn?"
"NINDA ša ni-ku-lu-ni kà-sà-am: ša ni-iš-tù-ú","He surely knows that we eat bread and drank the cup (together)!"
"lu i-di-e: a-hi a-ta ṣí-ba-at: KÙ.B-pi-a ú-lá ha-áš-ha-ku qá-qá-ad KÙ.B-pì-a šé-bi4-lam","My dear bother, I do not need the interest on my silver, send me (only) my silver capital."
"a-na-kam ta-ta-wa-a-ni a-na Ha-ar-zi-ga mi-ma lá ak-lá","As for what you talk about here, I did not withhold anything from Harziga."
"ú-ṭá-tám ú mì-ma i-ha-šu-hu-ni a-da-an","Barley and whatever he needs I will give."
"ša a-wi-il5-tim mi-ih-ṣa-am a-dí-na-kum lá lá-mu-un","The woven cloth of the lady I gave you is not bad!"
"a-na DINGIR-lim: šu-a-tí ší-im-šu šé-bi4-lam","For god's sake, send its price to me."
"šu-ma a-hi a-ta URUDU ṣa-al-ma-am ki-iṣ-ra-am iš-tí ma-ma-an šé-bi4-lam","If you are my brother, send me a lump of black copper with somebody."
"a-na-ku: em-ṣa-ku","Am I short of food?"
"ú-ul ba-ri-a-ku: ša-be-e-ku","I am not hungry, I am satisfied!"
"ha-ra-nàm lá a-da-gal","I am not considering a journey."
"DINGIR-lúm lu i-dé i-na ba-re-ni","God may be witness between us!"
"um-ma Šu-Ku-bu-um a-na A-šùr-DÙG qi-bi4-ma mì-šu: ša a-dí KÙ.B. ta-áš-ta-na-pá-ra-ni","Thus Šu-Kūbum, say to Aššur-ṭāb: Why do you keep writing me about the silver?"
"a-wa-tí-a: A-šùr-ma-lik ù Kur-ub-Ištar ú-ga-me-ru-ma 3 ma-na KÙ.B. i-nu-mì-šu-ma a-na Kur-ub-Ištar áš-qúl","Aššur-mālik and Kurub-Ištar have settled my case and at that time I immediately paid 3 minas of silver to Kurub-Ištar."
"ší-tí KÙ.B. a-na Kur-ub-Ištar áš-qúl","The rest of the silver I have now paid to Kurub-Ištar."
"ú a-dí ma-lá ú ší-ni-šu té-er-tí i-li-kà-kum a-na KÙ.B. mi-ma lá ta-áš-ta-na-pá-ra-am","Moreover, I have written to you several times: By all means stop writing me about the silver!"
"A-bu-ša-lim mi-ma lá il5-qé a-wa-tù-a IGI A-bu-ša-lim-ma i-gi5-im-ra","Abu-šalim has taken nothing (of it), Abu-šalim actually witnessed that my affair was settled!"
"[u]m-ma Lá-li-a-ma a-na A-šùr-e-nam ù Da-da-a qi-bi-ma a-na A-šùr-e-nam qi-bi-ma lu-lá-am ku-nu-ki-a ù ar-za-lam ša e-zi-ba-ku-ni šu-ma a-hi a-ta lu-lá-am ku-nu-ki-a ù ar-za-lam a-na Da-da-a dí-in","Thus Laliya, say to Aššur-ennam and Dadaya, and in particular to Aššur-ennam: The antimony under my seal and the arzallum, which I left to you, please, my brother, give that antimony under my seal and the arzallum to Dadaya."
"a-sú-re lu-lá-am ù ar-za-lam a-na Da-da-a e lá ta-dí-in-ma li-bi4 e im-ra-aṣ","By no means fail to give the antimony and and the arzallum to Dadaya lest I get angry!"
"a-na Da-da-a qi-bi-ma [š]u-ma lu-lá-am ù [a]r-za-lam lá i-da-na-ku-um [d]a-na-at-kà qí-bi-šu-um","Say to Dadaya: If he does not give you the antimony and the arzallum, state to him your harsh condition!"
"a-na Ar-ší-ah-šu ù Pé-[ru]-wa qi-bi4-ma um-ma Kà-sú-be-lí-ma a-[hu]-a [a]-tù-[nu] be-lu-a a-tù-nu ½ ma-na ⅓ GÍN KÙ.B. ù [15] ma-na URUDU ma-sí-a-am ku-nu-ki-a Be-lúm-ba-ni na-áš-a-ku-nu-tí","To Aršiahšu and Peruwa say, thus Kassu-bēlī: Please, my brothers my lords, 30½ shekels of silver and 15 minas of purified copper under my seals Bēlum-bāni is bringing you."
"SÍG.HI.A: za-ku-<tim> ša-ma-nim KÙ.B. ½ GÍN lá ta-be-e-lá","Buy for me cleaned wool, do not try to save even half a shekel of silver!"
"IGI A-šùr lá-ak-ru-ba-ku-nu-<tí> ar-hi-iš ṭù-ur-da-ni-šu ku-ṣú-um","I will pray for you before Aššur, Send him quickly, it is winter time."
"um-ma A-šùr-ma-lik-m[a] a-na A-al-DÙG ù En-um-A-šùr qi-bi4-ma 7 GÍN KÙ.B. ku-nu-ki-a A-šùr-ta-ak-lá-ku na-áš-a-ku-nu-tí","Thus Aššur-mālik, say to Āl-ṭāb and Ennum-Aššur: Aššur-taklāku is bringing you 7 shekels of silver under my seal."
"a-ma-kam ší-it-re ša pu-[ki]-im dam-qú-tim wa-at-ru-tim ša-ma-ma ku-nu-kà-ma a-na A-šùr-tak-lá-ku dí-na-ma šu-ma e-eb-ru a-tù-nu [i]š-tí pá-ni-im-ma [p]i-iq-da-ma ṭù-ur-da-ni-šu-nu","Buy there scarfs of pūku-weave of extremely good quality, seal them and hand them over to Aššur-taklāku and if you are really friends convey them to me with the first caravan."
"a-hu-ú-a-tù-nu ih-da-ma ú a-na-ku a-wa-at-ku-nu a-ša-me","Heed my request, my brothers, and I too can listen to what you say!"
"a-ma-kam ṣú-ha-ru-um lá i-na-ma-ar ar-hi-iš ṭù-ur-da-ni-šu-ma a-wi-lam lu-ṭí-ba-am","The boy must not be seen there, send him quickly here so that I can please the gentleman."
"a-ha-ma ½ GÍN KÙ.B. a-na Ì.GIŠ sà-ar-dim na-[ší] a-na","Separately he has with him ½ shekel of silver for (buying) olive oil."
"A-al-DÙG qí-bi4-ma a-dí-i KÙ.B. ša E-lá-lí-ni-ú-ma-an ù DAM a-hi-kà i-na e-ra-áb a-wi-il5-tim [x]-bi4-a","Say to Āl-ṭab: As for the silver of Elal/niuman and your brother's wife, when the lady arrives <gap>"
"A-šùr-ma-lik a-na ITU.3.KAM ṭup-pá-am ša ší-be-šu ù ṭup-pá-am ša wa-ba-ar-tim ú-ba-lam-ma iš-tí Šu-Be-lim e-ta-wu","Within three months Aššur-mālik shall bring the tablet of his witnesses and the tablet of the trading-station and discuss with Šu-Bēlum."
"šu-ma a-na ITU.3.KAM A-šùr-ma-lik ṭup-pá-am ša ší-be-šu ú ša wa-ba-ar-tim lá i-ta-áb-lam ½ ma-na KÙ.B. a-na Šu-Be-lim A-šùr-ma-lik i-ša-qal","If within three months Aššur-mālik does not bring the tablet of his witnesses and the one of the trading-station, Aššur-mālik will pay ½ mina of silver to Šu-Bēlum."
"iš-tù ha-mu-uš-tim ša Bu-zu-ta-a ù A-šùr-i-mì-tí ITU.KAM tí-i-na-tim li-mu-um IŠKUR-ba-ni","Reckoned from the week-eponymy of Buzutaya and Aššur-imittī, month X, eponymy-year of Adad-bāni."
"Tù-ra-a En-na-Sú-in ù Mu-ti1-A-šùr a-wi-lu a-ni-ú-tum da-a-nu","Tūraya, Ennam-Suen and Muti-Aššur, these men acted as judges."
"[KIŠIB <gap>]-A-šùr KIŠIB A-šùr-ta-ak-lá-ku KIŠIB Qá-ta-tim","Seal of <gap>-Aššur, seal of Aššur-taklāku, seal of Qatātum."
"4 1/6 GÍN KÙ.B. i-sé-er Qá-t[a-tim] DAM.GÀR i-šu","4 1/6 shekels of silver Qatatum owes to the creditor."
"iš-tù ha-mu-uš-tim ša Kà-zi-a ù Šu-Ku-bi4-im","Reckoning from the week eponymy of Kaziya and Šu-Kūbum"
"ki-ma a-wa-at kà-ri-[im] ṣí-ib-tám i-na ITU.KAM ú-ṣa-áb [KÙ.B.]","he will add interest per month according to the regulation of the kārum."
"<gap> x x Ib-ni- x [x]","<gap> Ibni- <gap>"
"KIŠIB En-um-A-šùr DUMU Ištar-lá-ma-[sí] KIŠIB In-ba-A-šùr DUMU Pi-lá-ah-Sú-in KIŠIB [Puzur4]-Ištar DUMU DINGIR-na-da","Seal of Ennam-Aššur, son of Ištar-lamassī, seal of Inib-Aššur, son of Pilah-Suen, seal of Puzur-Ištar, son of Ilī-nādā."
"3 GÍN KÙ.B. i-sé-er","3 shekels of silver"
"Pu[zur4-Ištar DUMU DINGIR-na-da] [DAM.GÀR i-šu iš]-[tù]","Puzur-Ištar, son of Ilī-nādā owes to the creditor."
"[ha-mu]-[uš-tim] ša Šu-Ku-[bi-im] ú Ka-zi-a 22½ ŠE i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb","From the week of Šu-Kūbum and Kaziya he will add ⅛ shekel per month as interest."
"ITU.KAM Ma-hu-ur-DINGIR li-m[u-um] ša qá-té IŠKUR-ba-ni","Month IV, eponymy of the successor of Adad-bāni."
"4 GÍN KÙ.B. i-ṣé-er x-A-šùr DAM.GÀR i-šu","4 shekels of silver <gap>-Aššur owes to the creditor."
"ITU.KAM A-lá-na-tim","Contracted in month XII."
"a-na ITU.KAM i-ša-qal","He will pay within a month."
"šu-ma lá iš-qúl ⅓ GÍN.TA i-na ITU.KAM ú-ṣa-áb li-mu-um A-šùr-na-da ha-mu-uš-tum ša qá-té Kà-ar-wa-a","If he does not pay he will add as interest ⅓ shekel per month Year eponymy of Aššur-nādā, week eponymy of the successor of Karwaya."
"IGI A-šùr-i-dí","Witnessed by Aššur-idī"
"4 GÍN KÙ.B. [li]-tí i-ṣé-er A-šùr-ta-ak-lá-ku DUMU A-a-a Šu-Be-lúm","4 shekels of līti-silver Aššur-taklāku son of A'aya owes to Šu-Bēlum."
"i-šu iš-tù ha-mu-uš-tim ša A-šùr-ta-ak-lá-ku ù E-me-me a-na ITU.KAM i-ša-qal","Reckoned from the week of Aššur-taklāku and Ememe he will pay within a month."
"šu-ma i-na ú-mì-šu ma-al-ú-tim lá iš-qúl 22½ ŠE KÙ.B. i-na ITU.KAM","If he does not pay when his term is due he will add 1/8 shekel of silver per month."
"ú-ṣa-áb li-mu-um A-šùr-na-da","Year eponymy of Aššur-nādā."
"IGI A-šùr-i-dí","Witnessed by Aššur-idī."
"Mu-za DUMU.<MÌ> Is-pu-nu-ma-an a-ša-at Šu-Be-lim","Muza, daughter of Ispunuman, is the wife of Šu-Bēlum."
"a-šar li-bi-<šu> Šu-Be-lúm i-ra-dé-ši","Šu-Bēlum can take her along where <he> wishes."
"šu-ma mu-ṣú-ta-šu ta-mu-[ú] ú-ul ar-nam ù ší-lá-tám ta-ar-ti-ší","If she wants to go away from him or commits a crime or an improper act,"
"1 ma-na KÙ.B. a-na Šu-Be-lim Mu-za ta-ša-qal-ma a-šar li-bi4-šu Šu-Be-lúm i-lá-ak","Muza will pay to Šu-Bēlum 1 mina of silver and Šu-Bēlum can go where he wishes."
"IGI Ṣú-lu-lá IGI In-ba-A-šùr IGI En-um-A-šùr IGI Pé-ru-a","In the presence of Ṣulula, of Inib-Aššur, of Ennum-Aššur, of Perua."
"4½ GÍN KÙ.B. ša Šu-Ištar Be-lum-ra-bi4 iṣ-ba-at","4½ shekels of silver, belonging to Šu-Ištar, Bēlum-rabi seized."
"um-ma Be-lum-ra-bi4-ma a-na a-wa-at Šu-Ištar ma-ṣa-ku","Bēlum-rabi declared: I take the responsibility vis-à-vis Šu-Ištar."
"IGI En-na-Sú-in IGI Puzur4-lá-ah IGI Ku-ra","Before Ennam-Suen, before Puzur-lah, before Kura."
"Šu-Ištar a-[na] Puzur4-A-š[ùr] DUMU I-tù-u[r-DINGIR] iṣ-ba-at-ni-[a-tí-ma] um-ma Šu-Ištar-ma a-na Puzur2-A-šùr-ma","Šu-Ištar seized us against Puzur-Aššur, the son of Itūr-ilī, and Šu-Ištar said to Puzur-Aššur:"
"4 GÍN KÙ.GI ša Ša-at-A-šùr ha-bu-lá-tí-ni SIG5 DIRIG","The 4 shekels of gold, which you owe <to> Šāt-Aššur are of very good quality!"
"um-ma Puzur2-A-šùr-ma ke-na ha-bu-lá-ku a-ša-qal","Puzur-Aššur answered: Indeed, I owe it, I will pay."
"Ṣí-lu-lu ù Da-da-a DUMU Ub-ra-e-im IGI šu-ga-ri-a-i[m] ša A-šùr DU[B-pu-šu-nu] i-d[í-nu]","Ṣilulu and Dadaya, son of the man from Ubra, gave their tablet before the š.-emblem of Aššur."
"Šu-<gap> DUMU I-<zi>-za-am-i-lí ù A-bi4-a DUMU A-[ta]-a pá-šu-nu iš-me-ú","Šu-<gap>, son of Izizam-ilī and Abiya, son of Ataya, heard their statement."
"2 TÚG.HI.A ku-ta-ni ša Šu-Ištar DUMU Lu-zi-ni a-na 27 ma-na URUDU ma-sí-im Li-ip-ta-num a-na I-dí-A-šùr DUMU Dan-A-šùr i-dí-in","Two kutānu-textiles belonging to Šu-Ištar, son of Luzini, Liptānum gave to Iddin-Aššur, son of Dān-Aššur, for 27 minas of refined copper."
"a-na a-wa-tim a-ni-a-tim kà-ru-um Wa-ah-šu-ša-na i-dí-ni-ma IGI šu-ga-ri-a-im ša A-šùr ší-bu-tí a-dí-in","For these words the Wahšušana colony made me available and before the š.-symbol of Aššur I gave my testimony."
"IGI Bu-za-zu DUMU Pu-šu-ki-in","In the presence of Buzāzu, son of Pūšu-kēn."
"A-šùr-du-rí DUMU Puzur4-Ištar tap-pá-i","Aššur-dūrī, son of Puzur-Ištar was my fellow witness."
"[x ma-na] 2 GÍN KÙ.B. [ṣa-r]u-pá-am i-ṣé-er Ì-lí-a-lim Šu-Ištar i-šu","<gap> minas and 2 shekels of refined silver Ilī-ālum owes to Šu-Ištar."
"[I]GI Ì-lí-dan [D]UMU Id-na-A-šùr IGI I-ku-pí-A-šùr DUMU Puzur4-Iš-tár IGI Šu-ku-[bi-im]","Witnessed by Ilī-dān, son of Id(di)n-Aššur, by Ikūn-pī-Aššur, son of Puzur-Ištar, and by Šu-Kūbum."
"i-na [x-x x] lu iš-tù Ku-bu-ur-na-at [ú]-šé-ba-lam [lu] i-na ba-a-áb-tí-šu a-lá-qé","On <gap> he will send it me from Kuburnat or I will take it from his outstanding claims."
"ší-tí KÙ.B. a-na ṣí-ib-tim a-la-qé-ma KÙ.B. ù ṣí-ba-sú Ì-lí-a-lim [ú-m]a-lá","The rest of the silver I will then borrow at interest and the silver and the interest on it Ilī-ālum will compensate."
"1 ma-na 10 GÍN KÙ.B. ṣa-ru-pá-am i-li-bi4 I-ku-nu Šu-Ištar i-šu IGI A-da-da DUB.SAR IGI Im-li-ká-a","1 mina and 10 shekels of refined silver are owed by Ikūnu(m) to Šu-Ištar, witnessed by Adada, the scribe, and by Imlikaya."
"1 TÚG ku-sí-<<a>>-tám a-ha-ma e-zi-ib-šu-ma 7½ GÍN KÙ.B. i-li-bi4 I-dí-Da-ga-[an]","1 kusītu-textile, separately, I left to him and 7½ shekels of silver are owed for it by Iddin-Dagan."
"5 GÍN KÙ.B. i-li-bi4 A-šùr-[m]a-lik ⅓ ma-na 8 GÍN AN.NA i-li-bi4 Puzur4-A-šùr","5 shekels of silver owed by Aššur-mālik, 28 shekels of tin owed by Puzur-Aššur."
"[a-n]a Šu-Ištar qi-bí-ma um-ma Zu-ba Ma-ta-ga-x ú UTU-ba-ni-ma","Say to Šu-Ištar, thus Zuba, Mataga, and Šamaš-bāni:"
"a-šu-mì ša-áp-tim ša ta-áš-pu-ra-ni eṭ-lu-tum i-ma-qú-tú-ni-ma ša-áp-tám iš-té-ni-iš6(IS) ni-dá-an-ma KÙ.B. ni-zu-wa-az(ÁŠ) KI iš-[x x (x)] a-na Pu-šu-ki-in nu-šé-ba-lam","As for the wool about which you wrote, when the men arrive here we will sell all the wool together and we will divide the silver and with <gap> we will send it to Pūšu-kēn."
"a-šu-mì E DAM.<GÀR>-ri-im ša(ZA)-sà-im qá-áb-a-tí-ni a-na-kam iš-tí Ir-ma-A-šùr a-ta-am-ga-ar","As for calling at a merchant's house for a loan, as you have promised, I have here now come to an agreement with Ir'am-Aššur and he said:"
"um-ma šu-ut-ma té-er-tù-šu [a-ṣ]é-er I-ku-pí-A-šùr [ú i]-a-tí li-li-kam-ma [la-dí]-na-ku-ma","Let his instruction come to Ikūn-pī-Aššur and to me, then I will give it to you."
"[x x] x ki-ma ak-lá-ku-kà-ni [x x x] giṣ-im-lá-ni [<gap>] [x x x x] ša Ma-ma-a [(x) da-mì]-iq-tám a-na x ša-áp-tám [x x x a]-na ší-tí [x x x] šé-bi4-lam","<gap> since I trust you <gap> do me a favor <gap> of Mamma <gap> the wool <gap> for the rest of <gap> send to me."
"[a]-na Šu-Ištar [q]í-bi4-ma um-ma Ì-[l]í-iš-tí-kál-ma","To Šu-Ištar speak, this is what Iliš-tikal says:"
"ki-ma ša-nu-a-tí-ni lá [a]-tù-ra-[am]","Since you were elsewhere I did not come back."
"šu-ma mì-ma ha-bu-lá-ku-u[m] šu-šál-šu-um lá-áš-qú-ul","Should I owe you anything, I will pay it threefold."
"um-ma [A]-mur-lu-sú-ma Šu-lí ù GE6-li-Ištar a-na Šu-Ištar qi-bi4-ma","Thus Amur-(i)lūssu, Šuli and Šilli-Ištar, say to Šu-Ištar:"
"ta-áš-pu-ra-am um-ma a-ta-ma 15 na-ru-qá-tim ku-nu-ke-a É Ga-lu-a e-zi-ib","You wrote us as follows: 15 bags under my seals I left in Galua's house"
"ṭup-pá-am ša Pu-šu-ki-in am-ra-ma ma-lá té-er-tim ša Pu-šu-ki-in ep-ša","Find the tablet of Pūšu-kēn and act in accordance with Pūšu-kēn's instruction."
"i-na DUB-pì-im ša Pu-šu-ki-in 1 me-at 30 TÚG.HI.A lá-áp-tu(m)","In the tablet of Pūšu-kēn is written 130 textiles,"
"na-ru-qá-tim nu-ma-hi-ir-ma 1 me-at 16 TÚG.HI.A","but when we took delivery of the bags there were only 116 textiles!"
"60 TÚG.HI.A 10 na-ru-qá-tim a-na Hu-na ú-ri-du IGI A-šùr-ta-ak-lá-ku IGI MAR.TU-ba-ni IGI En-na-A-šùr ni-ip-qí-id","60 textiles in 10 bags went down to Huna, in the presence of Aššur-taklāku, of Amurrum-bāni, and of Ennam-Aššur."
"56 TÚG S[IG5] x ta-tim É Ga-lu-a i-ba-ší-ú","56 textiles of good quality <gap> are still in Galua's house."
"[um-m]a Šu-Ištar-m[a] a-na Ku-da-dim Hu-ma-da-šu ù A-ba-mu-li qi-bi4-ma","Thus Šu-Ištar, say to Kudādum, Humadašu and Abamuli:"
"4 GÍN KÙ.B. a-na Ku-da-dim 2 GÍN KÙ.B. a-na Nu-hu-ša-tim a-ha-ma 5 GÍN KÙ.B. Ku-ra na-áš-<a>-ku-nu-tí","4 shekels of silver for Kudādum, 2 shekels of silver for Nuhušatum, and separately 5 shekels of silver Kura is bringing you."
"iš-té-et i-re-qám ša ti-ib-nim i-[na] Kà-n[i-iš] e-zi-ib","One wagon load of straw I left behind in Kanesh."
"li-qí-a-ma li-ib-ší-a","Take it and let it remain available."
"15 GÍN KÙ.B. Hu-li ša-áš-qi-lá-šu-ma ša ½ ma-na tup-pu-šu lu-up-ta","Make Huli pay 15 shekels of silver and draw up a debt-note of his for ½ mina."
"½ GÍN Du-du DUMU A-šùr-DÙG ha-bu-lam šu-ma wa-ša-áb KÙ.B. ša-áš-qi-lá-šu","Dudu, son of Aššur-ṭāb, owes me ½ shekel of silver; if he is staying there make him pay the silver."
"tup-pu-šu i-na ta-ma-lá-kà-[x] ša i-ku-nu-ke ša Ša-lim-ma kà-an-ku i-ba-ší","His debt-note is in the tablet box that is sealed with the seals of Šalimma."
"a-na Puzur4-A-šùr ú I-ku-pí-A-šùr qi-bi4-ma um-ma Šu-Ištar-ma","Say to Puzur-Aššur and Ikūn-pī-Aššur, thus Šu-Ištar:"
"be-lu-ú-a a-tù-nu i-hi-da-ma KÙ.B. ú ṣí-ba-sú-ú Id-na-<a> ša-áš-qi-lá","Please, my lords, take care to make Idnāya pay the silver and the interest on it."
"a-le-e KÙ.B. [Id-na-a] 10 GÍN e-li-a-[ni] mì-li-ik","Consider where silver of Idnāya, if only 10 shekels, may turn up."
"šu-m[a] a-wi-lu-um KÙ.B. i-šu-ú UTU-ba-ni na-hi-da-ma a-na me-e ša-tá-e-em lá ú-ša-ar-šu","If the man indeed has silver, then warn Šamaš-bāni that he must not allow him to drink water."
"KÙ.B.-pu-um KÙ.B.-áp-kà","For the silver is your silver!"
"a-wi-lu-um la-mu-un e ú-ni-ku-nu-ma ih-da","The man is a crook, let him not cheat you!"
"KÙ.B. ú ṣí-ba-sú ša-áš-qi-lá","Take care to make him pay the silver and the interest on it!"
"a-na Puzur4-A-šùr Id-na-a ù I-[ku-pí]-A-šùr qi-bí-ma um-ma Šu-Ištar-ma a-na Id-na-a qi-bi4-ma","Say to Puzur-Aššur, Idnāya and Ikūn-pī-Aššur thus Šu-Ištar, say in particular to Idnāya:"
"3 ma-na KÙ.B. ṣa-ru-pá-am ha-bu-lá-at u4-mu-kà 12 ha-am-ša-tim e-tí-qú","3 minas of refined silver you owe me, your term is 12 weeks overdue."
"a-hi a-ta KÙ.B. ú ṣí-ba-sú šu-qú-ul-ma a-na té-er-tí-a li-dí-nu","Please, my brother, pay the silver and its interest and let them give it to where I will instruct."
"a-na ša ki-ma i-a-tí qi-bi4-ma i-hi-da-ma KÙ.B. ú ṣí-ba-sú ša-áš-qi-lá-šu-ma a-na té-er-tí-a pá-ni-a","Say to my representatives: Take care to make him pay the silver and the interest on it and transfer it to where I will instruct."
"IŠKUR-ba-ni ù En-na-Sú-in ni-kà-sé i-sí-ú-ma 48½ [ma-n]a URUDU En-n[a]-Sú-in i-[ša-qal] 31½ ma-na URUDU IŠKUR-ba-ni i-ša-qal","Adad-bāni and Ennam-Suen settled accounts and Ennam-Suen will pay 48½ minas of copper and Adad-bāni will pay 31½ minas of copper."
"IGI Puzur4-A-šùr","Witnessed by Puzur-Aššur."
"KIŠIB Ka-ku-a DUMU I-dí-Ištar KIŠIB Puzur4-IŠKUR DUMU I-dí-Ištar KIŠIB Na-ra-am-A-šùr DUMU Ì-dí-ba-ni KIŠIB Ha-na-na DUMU DINGIR-kur-ub","Seal of Kakua, son of Iddin-Ištar, seal of Puzur-Adad, son of Iddin-Ištar, seal of Narām-Aššur, son of Idi-bāni, seal of Hanana, son of Ilam-kurub."
"⅓ ma-na 5 GÍN KÙ.B. ṣa-ru-pá-am ša ik-ri-bi ša me-er-ú DINGIR-kur-ub i-ṣé-er En-na-Sú-in DUMU A-mur-UTU ir-ší-ú-ni","25 shekels of refined silver, being temple funds, which the sons of Ilam-kurub had acquired as claim on Ennam-Suen, son of Amur-Šamaš,"
"ki-ma me-er-e DINGIR-kur-ub KÙ.B.","Hanana, representing the sons of Ilam-kurub,"
"ù ṣí-ba-sú Ha-na-na ša-bu","is satisfied with the silver and its interest."
